,,,,
 Response of EQUITY:,,,,
 Period,EQUITY,USD,PMI,TRADE
,,,,
 1, 2.789172, 0.000000, 0.000000, 0.000000
, (0.18312), (0.00000), (0.00000), (0.00000)
 2, 0.577424,-0.161753, 0.411156,-0.205641
, (0.29276), (0.29357), (0.29169), (0.26468)
 3,-0.354795, 0.085182, 0.199608, 0.037917
, (0.29585), (0.29266), (0.29432), (0.26545)
 4,-0.059071, 0.247863,-0.054675,-0.132434
, (0.29541), (0.28902), (0.29670), (0.24453)
 5, 0.165868, 0.415071, 0.106300, 0.373423
, (0.29821), (0.29099), (0.29364), (0.22991)
 6,-0.014449, 0.009019, 0.167583, 0.055759
, (0.28769), (0.29234), (0.27982), (0.23279)
 7,-0.254931,-0.578661,-0.086706, 0.069922
, (0.29276), (0.28496), (0.18539), (0.17381)
 8,-0.126627,-0.218092,-0.145692,-0.064054
, (0.18345), (0.17931), (0.18360), (0.14964)
 9,-0.033361,-0.076776,-0.379008,-0.062414
, (0.14535), (0.14509), (0.18231), (0.13073)
 10,-0.034059,-0.017715,-0.208372,-0.043174
, (0.13379), (0.14143), (0.17184), (0.11933)
 11,-0.066188, 0.041631,-0.126368,-0.074470
, (0.12528), (0.13303), (0.16274), (0.10438)
 12,-0.050672, 0.001737,-0.051931,-0.009434
, (0.11040), (0.11569), (0.14634), (0.08640)
 13,-0.011439,-4.40E-05,-0.008896,-0.011883
, (0.10754), (0.10804), (0.12517), (0.07285)
 14,-0.016237,-0.019198, 0.002437, 0.002193
, (0.07641), (0.08103), (0.10876), (0.06748)
 15,-0.006521,-0.027351,-0.010243,-0.004923
, (0.05688), (0.06547), (0.09059), (0.05846)
 16,-0.008404,-0.009687,-0.034574,-0.008150
, (0.04072), (0.05578), (0.07010), (0.05098)
 17,-0.006948, 0.014919,-0.041983,-0.006993
, (0.03237), (0.04632), (0.05671), (0.04320)
 18,-0.010596, 0.014486,-0.048226,-0.009858
, (0.02413), (0.03657), (0.04920), (0.03602)
 19,-0.014663, 0.013640,-0.042346,-0.009091
, (0.01881), (0.03151), (0.04518), (0.03107)
 20,-0.014817, 0.009249,-0.040130,-0.012539
, (0.01767), (0.02873), (0.04077), (0.02740)
 21,-0.014720, 0.001119,-0.038698,-0.012024
, (0.01728), (0.02649), (0.03792), (0.02534)
 22,-0.012914, 0.002246,-0.035268,-0.014651
, (0.01668), (0.02386), (0.03516), (0.02391)
 23,-0.011636, 0.002509,-0.033436,-0.014551
, (0.01618), (0.02152), (0.03269), (0.02219)
 24,-0.009914, 0.004252,-0.028918,-0.013413
, (0.01551), (0.01986), (0.03010), (0.02078)
,,,,
 Response of USD:,,,,
 Period,EQUITY,USD,PMI,TRADE
,,,,
 1,-0.667905, 0.955194, 0.000000, 0.000000
, (0.09894), (0.06271), (0.00000), (0.00000)
 2,-0.049705, 0.261680,-0.094281, 0.170950
, (0.12364), (0.12384), (0.12230), (0.11103)
 3, 0.118629, 0.076938, 0.081037, 0.102677
, (0.12439), (0.12313), (0.12375), (0.11150)
 4, 0.023999, 0.065791, 0.000646,-0.036860
, (0.12394), (0.12121), (0.12447), (0.10292)
 5,-0.021545,-0.195687,-0.150354,-0.111664
, (0.12570), (0.12216), (0.12354), (0.09573)
 6,-0.006097, 0.035121,-0.150147,-0.099462
, (0.12222), (0.12407), (0.11857), (0.09620)
 7, 0.048293, 0.259173,-0.112758,-0.112559
, (0.12490), (0.12258), (0.08798), (0.07423)
 8, 0.024529, 0.096164,-0.028497,-0.049600
, (0.07404), (0.08793), (0.08754), (0.06647)
 9,-0.014719, 0.080249, 0.083917,-0.039036
, (0.05547), (0.07764), (0.08321), (0.05919)
 10,-0.008107, 0.043651, 0.059586,-0.031297
, (0.05034), (0.07462), (0.07746), (0.05490)
 11, 0.012213,-0.012701, 0.045495,-0.007330
, (0.04837), (0.06883), (0.07108), (0.04459)
 12, 0.009181, 0.016249, 0.030289,-0.017548
, (0.04224), (0.06184), (0.06231), (0.03896)
 13, 0.004847, 0.018578, 0.004853,-0.011409
, (0.03702), (0.05913), (0.05921), (0.03644)
 14, 0.007079, 0.019690, 0.001272,-0.005482
, (0.02585), (0.04364), (0.05350), (0.03117)
 15, 0.004187, 0.032267, 0.006078,-0.000180
, (0.02208), (0.03628), (0.05050), (0.02759)
 16, 0.005195, 0.019062, 0.010537, 0.005433
, (0.01910), (0.03017), (0.04636), (0.02599)
 17, 0.005244, 0.005031, 0.015558, 0.007905
, (0.01653), (0.02453), (0.04118), (0.02229)
 18, 0.006078, 0.002846, 0.017582, 0.008504
, (0.01505), (0.02208), (0.03716), (0.01933)
 19, 0.008159,-0.002491, 0.015275, 0.009042
, (0.01342), (0.02063), (0.03443), (0.01738)
 20, 0.008695,-0.002488, 0.015961, 0.009507
, (0.01232), (0.01785), (0.03184), (0.01507)
 21, 0.008671,-1.55E-05, 0.016647, 0.009250
, (0.01169), (0.01590), (0.02998), (0.01367)
 22, 0.008375,-0.001693, 0.017006, 0.010067
, (0.01113), (0.01298), (0.02805), (0.01286)
 23, 0.007781,-0.002104, 0.017976, 0.009937
, (0.01061), (0.01056), (0.02586), (0.01204)
 24, 0.007043,-0.003051, 0.017360, 0.009419
, (0.01014), (0.00980), (0.02374), (0.01142)
,,,,
 Response of PMI:,,,,
 Period,EQUITY,USD,PMI,TRADE
,,,,
 1, 0.157848,-0.046705, 0.515395, 0.000000
, (0.04915), (0.04795), (0.03384), (0.00000)
 2, 0.198926,-0.089363, 0.611256, 0.136973
, (0.08195), (0.08116), (0.07023), (0.05206)
 3, 0.236068,-0.071767, 0.719315, 0.179089
, (0.11182), (0.11109), (0.10096), (0.07921)
 4, 0.257034,-0.064782, 0.740231, 0.221639
, (0.13851), (0.13652), (0.12932), (0.10430)
 5, 0.246671,-0.080450, 0.707749, 0.279473
, (0.16106), (0.15739), (0.15488), (0.12068)
 6, 0.244073,-0.039425, 0.605483, 0.260851
, (0.17546), (0.17193), (0.17437), (0.13293)
 7, 0.205300,-0.063643, 0.528062, 0.259350
, (0.18582), (0.18193), (0.18617), (0.14580)
 8, 0.172076,-0.081136, 0.444337, 0.237768
, (0.18572), (0.18861), (0.19274), (0.15283)
 9, 0.143472,-0.082110, 0.362135, 0.199132
, (0.17679), (0.19031), (0.19454), (0.15642)
 10, 0.124615,-0.091365, 0.310605, 0.171078
, (0.16368), (0.18680), (0.19383), (0.15625)
 11, 0.102897,-0.099088, 0.271824, 0.141415
, (0.14849), (0.17739), (0.19297), (0.15302)
 12, 0.087843,-0.092524, 0.243555, 0.115851
, (0.13066), (0.16631), (0.19388), (0.14703)
 13, 0.078950,-0.087157, 0.225617, 0.096056
, (0.11489), (0.15597), (0.19555), (0.14040)
