,,,,
 Response of EQUITY:,,,,
 Period,EQUITY,USD,PMI,TRADE
,,,,
 1, 3.669956, 0.000000, 0.000000, 0.000000
, (0.24631), (0.00000), (0.00000), (0.00000)
 2, 1.285019, 0.284618,-0.242552, 0.485848
, (0.39949), (0.36654), (0.37673), (0.39127)
 3, 0.263422, 0.371097,-0.123477, 0.671631
, (0.41014), (0.39574), (0.40051), (0.41488)
 4, 0.049875,-0.045964, 0.311679,-0.404518
, (0.41132), (0.38643), (0.38151), (0.38571)
 5,-0.007004,-0.279002,-0.085647,-0.254076
, (0.40402), (0.37418), (0.35517), (0.36965)
 6, 0.218366, 0.237459, 0.122570, 0.057217
, (0.40232), (0.35364), (0.33562), (0.36057)
 7, 0.098096, 0.065262,-0.368824,-0.047820
, (0.39249), (0.35082), (0.23997), (0.29300)
 8, 0.041045, 0.086029,-0.064491,-0.027786
, (0.29650), (0.23590), (0.22636), (0.27376)
 9, 0.047195,-0.032611, 0.051746, 0.013298
, (0.26421), (0.17734), (0.19965), (0.26222)
 10, 0.029293,-0.142076, 0.045249,-0.048430
, (0.24928), (0.14376), (0.15674), (0.22832)
 11,-0.089267, 0.066472, 0.006935, 0.108078
, (0.23486), (0.13022), (0.12450), (0.20781)
 12,-0.067694, 0.072160,-0.050318,-0.042964
, (0.21374), (0.10797), (0.11385), (0.19480)
 13,-0.100800, 0.010964,-0.031442, 0.003904
, (0.19529), (0.09337), (0.09629), (0.18593)
 14,-0.003843, 0.002204, 0.049073, 0.086413
, (0.17390), (0.07428), (0.08774), (0.18159)
 15, 0.038238,-0.045121, 0.032084, 0.053317
, (0.15868), (0.06168), (0.08355), (0.17545)
 16, 0.008539, 0.017200, 0.024393, 0.098352
, (0.15235), (0.05898), (0.07137), (0.15688)
 17, 0.002761, 0.041886, 0.015943, 0.069018
, (0.14580), (0.05260), (0.06520), (0.13987)
 18,-0.003521, 0.004289, 0.009200, 0.046093
, (0.14025), (0.04755), (0.05818), (0.12181)
 19, 0.022057, 0.011638, 0.038611, 0.073523
, (0.13129), (0.04119), (0.05106), (0.10738)
 20, 0.050828,-0.000649, 0.029400, 0.054350
, (0.11840), (0.03510), (0.04668), (0.10059)
 21, 0.043351, 0.008251, 0.016484, 0.055007
, (0.10835), (0.03178), (0.04203), (0.08874)
 22, 0.038947, 0.021981, 0.012501, 0.047898
, (0.09949), (0.02925), (0.03904), (0.08036)
 23, 0.034421, 0.004830, 0.006577, 0.021656
, (0.09426), (0.02704), (0.03863), (0.07284)
 24, 0.030972, 0.003738, 0.011039, 0.022219
, (0.08997), (0.02166), (0.03694), (0.06827)
,,,,
 Response of USD:,,,,
 Period,EQUITY,USD,PMI,TRADE
,,,,
 1,-0.445960, 0.527587, 0.000000, 0.000000
, (0.05834), (0.03541), (0.00000), (0.00000)
 2,-0.225902, 0.032247, 0.032330,-0.024424
, (0.07433), (0.06836), (0.07039), (0.07341)
 3, 0.033311,-0.161146, 0.078932,-0.002406
, (0.07664), (0.07324), (0.07336), (0.07620)
 4, 0.117660,-0.042782,-0.043508, 0.201893
, (0.08011), (0.07479), (0.07529), (0.07393)
 5,-0.027768, 0.022838, 0.013479, 0.065585
, (0.07893), (0.07517), (0.07423), (0.07494)
 6,-0.113566, 0.029544,-0.098658,-0.007268
, (0.07911), (0.07231), (0.07138), (0.07369)
 7,-0.069201, 0.034098, 0.070622,-0.020680
, (0.07798), (0.07180), (0.05617), (0.06019)
 8,-0.034442,-0.032320, 0.027827,-0.019375
, (0.06099), (0.05554), (0.05395), (0.05374)
 9, 0.016547, 0.006637, 0.019898, 0.017973
, (0.05554), (0.04791), (0.04842), (0.04862)
 10,-0.000903, 0.025130,-0.011428, 0.022133
, (0.05098), (0.04198), (0.03901), (0.04045)
 11,-0.001522,-0.007610,-0.034888,-0.029132
, (0.04426), (0.03587), (0.03417), (0.03648)
 12,-0.018675,-0.006968,-0.002369,-0.001398
, (0.03893), (0.03151), (0.02828), (0.03461)
 13,-0.004549,-0.019405,-0.000673,-0.027287
, (0.03280), (0.02587), (0.02418), (0.03162)
 14,-0.015510,-0.008236,-0.009285,-0.031637
, (0.03037), (0.02072), (0.02164), (0.02998)
 15,-0.023635, 0.012976,-0.010048,-0.023437
, (0.02876), (0.01718), (0.01891), (0.02835)
 16,-0.023807,-0.002053,-0.018865,-0.039981
, (0.02721), (0.01631), (0.01617), (0.02567)
 17,-0.025053,-0.007412,-0.011160,-0.025220
, (0.02642), (0.01484), (0.01447), (0.02315)
 18,-0.017222,-0.008796,-0.006804,-0.023721
, (0.02513), (0.01372), (0.01371), (0.02128)
 19,-0.020903,-0.010481,-0.012332,-0.025380
, (0.02374), (0.01233), (0.01147), (0.01906)
 20,-0.026699,-0.000392,-0.009625,-0.017408
, (0.02185), (0.01091), (0.01022), (0.01802)
 21,-0.026018,-0.002617,-0.009447,-0.020845
, (0.02038), (0.01047), (0.00951), (0.01690)
 22,-0.024950,-0.005050,-0.005458,-0.014982
, (0.01962), (0.01019), (0.00888), (0.01564)
 23,-0.019277,-0.002937,-0.001591,-0.007524
, (0.01894), (0.00920), (0.00895), (0.01470)
 24,-0.015654,-0.003914,-0.002645,-0.005853
, (0.01858), (0.00782), (0.00816), (0.01389)
,,,,
 Response of PMI:,,,,
 Period,EQUITY,USD,PMI,TRADE
,,,,
 1, 0.178125, 0.094422, 0.671753, 0.000000
, (0.06549), (0.06407), (0.04509), (0.00000)
 2, 0.387815, 0.147133, 0.507996, 0.142132
, (0.09388), (0.08603), (0.08025), (0.07512)
 3, 0.663702, 0.167522, 0.443251, 0.365673
, (0.12325), (0.11123), (0.10806), (0.10556)
 4, 0.829638, 0.123564, 0.286260, 0.428443
, (0.15364), (0.13771), (0.13465), (0.13714)
 5, 0.946346, 0.026649, 0.231023, 0.389878
, (0.18318), (0.16172), (0.15479), (0.16442)
 6, 0.909656, 0.012594, 0.305739, 0.429664
, (0.21152), (0.18588), (0.17132), (0.18879)
 7, 0.917817, 0.022023, 0.253108, 0.288182
, (0.23303), (0.20309), (0.17177), (0.20981)
 8, 0.822448, 0.099817, 0.228434, 0.221532
, (0.24737), (0.21058), (0.17081), (0.22924)
 9, 0.752656, 0.134362, 0.178039, 0.160594
, (0.25833), (0.21248), (0.16342), (0.24603)
 10, 0.715875, 0.078502, 0.124072, 0.081497
