year,period,ff4_hf,sp500_hf,MPshockSign,CBIshockSign,MPshockPoorman,CBIshockPoorman
1990,2,-.02,-.16664,-.00090451055,-.01909549,0,-.02
1990,3,-.02,-.17281,-.00056774163,-.019432258,0,-.02
1990,4,0,0,0,0,0,0
1990,5,0,.0369,-.0020140635,.0020140635,0,0
1990,6,0,0,0,0,0,0
1990,7,-.1,.01864,-.051017404,-.048982598,-.1,0
1990,8,0,.29184,-.015929114,.015929114,0,0
1990,9,0,0,0,0,0,0
1990,10,-.02999,-.64155,.020021871,-.05001187,0,-.029990001
1990,11,.01,-.00941,.0055136136,.0044863867,.0099999998,0
1990,12,-.19,.85309,-.14156307,-.048436925,-.19,0
1991,1,-.1,.51814,-.078280948,-.021719053,-.1,0
1991,2,-.21,-.40345,-.082979023,-.12702097,0,-.20999999
1991,3,-.06,.53704,-.059312541,-.00068746007,-.059999999,0
1991,4,-.19,.94203,-.14641757,-.043582428,-.19,0
1991,5,-.02,-.23957,.0030761305,-.02307613,0,-.02
1991,6,0,0,0,0,0,0
1991,7,.01,-.02932,.0066003348,.0033996655,.0099999998,0
1991,8,-.08,.6163700000000001,-.073642507,-.0063574961,-.079999998,0
1991,9,0,-.04647,.0025364102,-.0025364102,0,0
1991,10,-.04,-.02066,-.018872343,-.021127658,0,-.039999999
1991,11,-.12,0,-.059999999,-.059999999,0,0
1991,12,-.25,.01848,-.12600867,-.12399133,-.25,0
1992,1,0,0,0,0,0,0
1992,2,0,.03623,-.001977494,.001977494,0,0
1992,3,0,0,0,0,0,0
1992,4,-.2,.66953,-.13654406,-.063455932,-.2,0
1992,5,.00999,-.06721,.0086634336,.001326566,.0099900002,0
1992,6,0,0,0,0,0,0
1992,7,-.3,.0557,-.1530402,-.1469598,-.30000001,0
1992,8,.01,.02617,.0035715976,.0064284024,0,.0099999998
1992,9,.01,-.0024,.005130996,.0048690038,.0099999998,0
1992,10,.01,-.18129,.014895111,-.0048951111,.0099999998,0
1992,11,0,.27846,-.015198812,.015198812,0,0
1992,12,-.01,-.10212,.0005738801,-.01057388,0,-.0099999998
1993,1,0,0,0,0,0,0
1993,2,-.02,-.06245,-.0065913745,-.013408625,0,-.02
1993,3,0,-.09324,.005089195,-.005089195,0,0
1993,4,0,0,0,0,0,0
1993,5,-.02,.15957,-.018709596,-.001290403,-.02,0
1993,6,0,0,0,0,0,0
1993,7,0,.29,-.015828684,.015828684,0,0
1993,8,.01,-.11818,.011450462,-.0014504617,.0099999998,0
1993,9,.01,0,.0049999999,.0049999999,0,0
1993,10,0,0,0,0,0,0
1993,11,0,.04079,-.0022263862,.0022263862,0,0
1993,12,-.01,.01935,-.0060561555,-.0039438447,-.0099999998,0
1994,1,0,0,0,0,0,0
1994,2,0,-.65986,.036016259,-.036016259,0,0
1994,3,0,.30084,-.016420349,.016420349,0,0
1994,4,.12,-.67892,.09705659,.022943413,.12,0
1994,5,.05,.54159,-.0045608864,.054560885,0,.050000001
1994,6,0,0,0,0,0,0
1994,7,0,-.18351,.010016282,-.010016282,0,0
1994,8,0,.25516,-.013927059,.013927059,0,0
1994,9,-.03,-.19502,-.0043554828,-.025644517,0,-.029999999
1994,10,0,0,0,0,0,0
1994,11,.08,-.55058,.070051573,.0099484241,.079999998,0
