year,month,day,eureon3m_hf,stoxx50_hf
1999,3,4,-0.002499819,0.067043126
1999,3,18,2.38E-07,0.059497379
1999,4,8,0.015000105,-0.426452473
1999,4,22,0.005000114,0.063629337
1999,5,6,0.015000343,-0.294032305
1999,5,20,0.005000114,0.017979532
1999,6,2,0.004999876,0.394646183
1999,6,17,-0.005000114,-0.30012092
1999,7,1,0.019999981,-0.063482776
1999,7,15,0.005000114,0.534863286
1999,7,29,-0.012499809,-0.040508233
1999,8,26,0.002500057,-0.141978696
1999,9,9,-0.049999952,-0.216938257
1999,9,23,0.014999866,0.246343151
1999,10,7,-0.09250021,-0.369318962
1999,10,21,-0.039999962,-0.278101236
1999,11,4,0.052500248,0.423182668
1999,11,18,0.010000229,0.082134858
1999,12,2,0.006500244,0.144463174
1999,12,15,-0.010000229,0.136979774
2000,1,5,-0.005000114,-0.002911001
2000,1,20,0.002499819,0.086799614
2000,2,3,-0.012500048,0.954105288
2000,2,17,0.005000114,0.10747277
2000,3,2,-0.024999857,0.391344249
2000,3,16,-0.039999962,0.036137365
2000,3,30,-0.017500162,0.153553545
2000,4,13,-0.012500286,-0.799921662
2000,4,27,0.017499924,-0.011801461
2000,5,11,0.005000114,1.258192459
2000,5,25,-0.012500286,0.196285397
2000,6,8,0.127500057,-1.301324848
2000,6,21,0,0.025499463
2000,7,6,0.020000458,-0.055092089
2000,7,20,-0.002500057,-0.206215724
2000,8,3,-0.015000343,-0.193410516
2000,8,31,-0.056499958,0.31681177
2000,9,14,-0.023999214,0.309488684
2000,10,5,0.059000492,-0.261115866
2000,10,19,0.004999638,0.424243353
2000,11,2,-0.010000229,0.219684824
2000,11,16,-0.010000229,-0.176181734
2000,11,30,-0.004999638,-0.05284163
2000,12,14,-0.003000259,0.357539579
2001,1,4,0.009999752,-0.040314928
2001,1,18,0.012500286,-0.135100707
2001,2,1,0.018500328,0.025604144
2001,2,15,0.000999451,0.262852341
2001,3,1,0.036499977,-0.265544642
2001,3,15,0.012500286,0.091940679
2001,3,29,0.037500381,-0.515236199
2001,4,11,0.09499979,0.444578692
2001,4,26,0.003499985,0.25851199
2001,5,10,-0.17650032,0.822657362
2001,5,23,0.005000591,-0.034146663
2001,6,7,0.020999432,-0.096978916
2001,6,21,0.03000021,-0.293119825
2001,7,5,0.027500153,-0.15792859
2001,7,19,0.019999981,0.068958648
2001,8,2,0.027499676,-0.209618062
2001,8,30,-0.032500744,-0.745264232
2001,9,13,0.006000042,-0.183722273
2001,9,17,-0.30499959,0.836069643
