year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1,gs1,gs10,sven5f5,bkeven05,exp_gdp_12m,exp_cpi_12m,us_cpi,us_ip,logsp500,us_gdpdef,us_rgdp,ebpnew,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50,ea_ip_excl_constr,hicp,stoxx50,ea_bbb_oas_all_fred,ea_rgdp,ea_gdpdef,de1y_haver
1979,7,,,,,,,,,,9.6400003,8.9499998,8.5193853,,,,429.04593,397.93228,463.16483,371.07132,877.20264,-.25440001,,,,,,,,,,,,
1979,8,,,,,,,,,,9.9799995,9.0299997,8.595396,,,,430.00027,397.25439,467.60703,371.73209,875.4585,-.33939999,,,,,,,,,,,,
1979,9,,,,,,,,,,10.84,9.3299999,8.7794371,,,,430.94559,397.3656,468.79752,372.46835,874.66516,-.153,,,,,,,,,,,,
1979,10,,,,,,,,,,12.44,10.3,9.5050907,,,,432.01514,397.89655,464.89291,373.16437,876.48096,-.78009999,,,,,,,,,,,,
1979,11,,,,,,,,,,12.39,10.65,9.9331312,,,,433.07333,397.79791,464.12521,373.72144,875.74719,-.15369999,,,,,,,,,,,,
1979,12,,,,,,,,,,11.98,10.39,9.9909496,,,,434.25058,397.88141,468.00037,374.30917,875.84076,.1065,,,,,,,,,,,,
1980,1,,,,,,,,,,12.06,10.8,10.566641,,,,435.67087,398.35452,470.7193,374.96393,877.90015,-.059300002,,,,,,,,,,,,
1980,2,,,,,,,,,,13.92,12.41,11.824699,,,,436.94479,398.39008,474.79089,375.73184,875.61401,-.44580001,,,,,,,,,,,,
1980,3,,,,,,,,,,15.82,12.75,11.470533,,,,438.32758,398.05804,465.099,376.67532,875.46918,.25529999,,,,,,,,,,,,
1980,4,,,,,,,,,,13.3,11.47,11.083815,,,,439.32138,395.99957,463.40314,377.25702,876.54346,-.50400001,,,,,,,,,,,,
1980,5,,,,,,,,,,9.3900003,10.18,10.709676,,,,440.30539,393.55521,468.05222,377.99503,873.13934,-.0296,,,,,,,,,,,,
1980,6,,,,,,,,,,8.1599998,9.7799997,10.10859,,,,441.27982,392.31113,474.09824,378.63318,873.04895,-.1123,,,,,,,,,,,,
1980,7,,,,,,,,,,8.6499996,10.25,10.521623,,,,441.40097,391.53375,478.54825,379.35699,874.17249,.073700003,,,,,,,,,,,,
1980,8,,,,,,,,,,10.24,11.1,11.096609,,,,442.12473,391.90582,481.62143,380.1929,873.65045,-.015799999,,,,,,,,,,,,
1980,9,,,,,,,,,,11.52,11.51,11.244319,,,,442.96255,393.52063,483.88507,381.16119,874.42499,-.0469,,,,,,,,,,,,
1980,10,,,,,,,,,,12.49,11.75,11.46956,,,,443.91156,394.76392,486.92386,382.12143,875.56305,-.17640001,,,,,,,,,,,,
1980,11,,,,,,,,,,14.15,12.68,11.880488,,,,444.96854,396.49475,490.93369,383.02008,875.75934,.2915,,,,,,,,,,,,
1980,12,,,,,,,,,,14.88,12.84,11.777737,,,,445.89877,397.05597,489.47559,383.74121,876.45764,.043699998,,,,,,,,,,,,
1981,1,,,,,,,,,,14.08,12.57,11.768814,,,,446.82043,396.48413,489.10461,384.5939,877.24445,.3531,,,,,,,,,,,,
1981,2,,,,,,,,,,14.57,13.19,12.420678,,,,447.73367,396.01138,485.47803,385.49136,877.81549,.1137,,,,,,,,,,,,
1981,3,,,,,,,,,,13.71,13.12,12.610732,,,,448.41318,396.55658,489.17392,386.20166,878.73523,-.0135,,,,,,,,,,,,
1981,4,,,,,,,,,,14.32,13.68,12.854605,,,,448.97592,396.1257,490.12567,386.75919,876.20557,.54119998,,,,,,,,,,,,
1981,5,,,,,,,,,,16.200001,14.1,12.86074,,,,449.64706,396.69107,488.05881,387.30493,877.49579,.3527,,,,,,,,,,,,
1981,6,,,,,,,,,,14.86,13.47,12.319055,,,,450.53497,397.16098,488.51099,387.79846,877.73297,.417,,,,,,,,,,,,
1981,7,,,,,,,,,,15.72,14.28,12.893641,,,,451.63391,397.78931,486.06378,388.40482,878.54523,.4206,,,,,,,,,,,,
1981,8,,,,,,,,,,16.719999,14.94,13.31719,,,,452.39603,397.77341,486.46805,389.06158,877.9032,.2818,,,,,,,,,,,,
1981,9,,,,,,,,,,16.52,15.32,13.999152,,,,453.36743,397.17267,477.36578,389.74609,878.38568,.43720001,,,,,,,,,,,,
1981,10,,,,,,,,,,15.38,15.15,14.25399,,,,453.68915,396.45624,478.58047,390.37354,876.54303,.5887,,,,,,,,,,,,
