year,month,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50
1999,1,,,,,
1999,2,,,,,
1999,3,-.0024995804,.12654051,,-.0024995804,0
1999,4,.020000219,-.36282313,,.020000219,0
1999,5,.020000458,-.27605277,,.020000458,0
1999,6,-2.3841858e-07,.094525263,,-2.3841858e-07,0
1999,7,.012500286,.43087226,,0,.012500286
1999,8,.0025000572,-.1419787,,.0025000572,0
1999,9,-.035000086,.029404894,,-.035000086,0
1999,10,-.13250017,-.64742017,,0,-.13250017
1999,11,.062500477,.50531751,,0,.062500477
1999,12,-.0034999847,.28144294,,-.0034999847,0
2000,1,-.0025002956,.083888613,,-.0025002956,0
2000,2,-.0074999332,1.061578,,-.0074999332,0
2000,3,-.082499981,.58103514,,-.082499981,0
2000,4,.0049996376,-.81172311,,.0049996376,0
2000,5,-.0075001717,1.4544779,,-.0075001717,0
2000,6,.12750006,-1.2758254,,.12750006,0
2000,7,.017500401,-.26130781,,.017500401,0
2000,8,-.071500301,.12340125,,-.071500301,0
2000,9,-.023999214,.30948868,,-.023999214,0
2000,10,.06400013,.16312748,,0,.06400013
2000,11,-.025000095,-.0093385391,,0,-.025000095
2000,12,-.0030002594,.35753959,,-.0030002594,0
2001,1,.022500038,-.17541564,,.022500038,0
2001,2,.019499779,.2884565,,0,.019499779
2001,3,.086500645,-.68884015,,.086500645,0
2001,4,.098499775,.70309067,,0,.098499775
2001,5,-.17149973,.78851068,,-.17149973,0
2001,6,.050999641,-.39009875,,.050999641,0
2001,7,.047500134,-.088969946,,.047500134,0
2001,8,-.0050010681,-.95488226,,0,-.0050010681
2001,9,-.30499935,-.15967669,,0,-.30499935
2001,10,.065000296,-.0036533773,,.065000296,0
2001,11,-.0059998035,-.31658036,,0,-.0059998035
2001,12,.017499924,-.32146385,,.017499924,0
2002,1,.020000219,-.2424611,,.020000219,0
2002,2,.014000177,.18170311,,0,.014000177
2002,3,.010000229,-.13347498,,.010000229,0
2002,4,-.0074999332,-.24806343,,0,-.0074999332
2002,5,.018499851,-.12424786,,.018499851,0
2002,6,.0014998913,-.46475339,,.0014998913,0
2002,7,-.0074999332,-.10369776,,0,-.0074999332
