year,month,ea_ip_excl_constr,hicp,stoxx50,ea_bbb_oas_all_fred,ea_rgdp,ea_gdpdef,de1y_haver
1990,1,,407.97385,477.09793,,,,8.1400003
1990,2,,408.24408,475.02612,,,,8.7600002
1990,3,,408.47992,476.49942,,,,8.6499996
1990,4,,408.81589,478.99927,,,,8.7399998
1990,5,,409.03366,479.09641,,,,8.6400003
1990,6,,409.21756,478.72101,,,,8.5500002
1990,7,,409.26764,479.36093,,,,8.4499998
1990,8,,409.96637,466.64453,,,,8.8100004
1990,9,,410.70963,457.4881,,,,8.79
1990,10,,411.26755,454.74536,,,,8.6400003
1990,11,,411.36569,453.08383,,,,8.9099998
1990,12,,411.44739,454.28995,,,,9.0299997
1991,1,449.98096,411.83865,449.43213,,,,8.9700003
1991,2,448.86365,412.27701,458.05853,,,,8.6899996
1991,3,448.07401,412.2608,464.20209,,,,8.7700005
1991,4,447.27811,412.61661,466.43265,,,,8.8699999
1991,5,446.93506,413.03549,467.1304,,,,8.6899996
1991,6,448.97592,413.45264,468.18118,,,,8.8500004
1991,7,447.16388,414.1705,464.3111,,,,9.1099997
1991,8,447.04953,414.37695,464.11206,,,,8.8400002
1991,9,447.27811,414.5513,465.2467,,,,8.8400002
1991,10,447.50616,414.88327,462.93069,,,,9.0500002
1991,11,448.75122,415.40277,462.11935,,,,9.0699997
1991,12,448.07401,415.49692,458.38538,,,,9.0100002
1992,1,448.75122,415.68497,464.22397,,,,8.8299999
1992,2,449.31207,416.04443,467.54141,,,,8.79
1992,3,448.18719,416.32486,468.38385,,,,9
1992,4,447.96069,416.66653,468.35989,,,,8.9499998
1992,5,447.50616,416.94519,469.84653,,,,8.9899998
1992,6,446.4758,417.17685,467.65601,,,,9.0799999
1992,7,445.0853,417.31558,461.27847,,,,9.3100004
1992,8,445.2019,417.53101,455.29089,,,,9.4700003
1992,9,444.02954,417.80728,456.38556,,,,8.29
1992,10,444.26514,418.05222,454.33673,,,,7.7199998
1992,11,443.31949,418.38806,458.11264,,,,7.5999999
