year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1
1990,2,-.02,-.16664,,-.24072427,.020335654,0,-.02,.020335654,0
1990,3,-.02,-.17281,,-.24793869,-.0056694802,0,-.02,0,-.0056694802
1990,4,0,0,,0,0,0,0,0,0
1990,5,0,.036899999,,-.0029635481,.0024206729,0,0,.0024206729,0
1990,6,0,0,,0,0,0,0,0,0
1990,7,-.1,.01864,,-.070361622,-.039244581,-.1,0,0,-.039244577
1990,8,0,.29183999,,.29482871,.018006468,0,0,0,.018006468
1990,9,0,0,,0,0,0,0,0,0
1990,10,-.029990001,-.64155,,-.84155899,.019242454,0,-.029990001,.019242454,0
1990,11,.0099999998,-.0094100004,,-.057060607,.02958216,.0099999998,0,.02958216,0
1990,12,-.19,.85308999,,.90437925,-.14451249,-.19,0,-.14451249,0
1991,1,-.1,.51814002,,.55918509,-.12553349,-.1,0,-.12553349,0
1991,2,-.20999999,-.40345001,,-.56341875,-.083103977,0,-.20999999,0,-.083103977
1991,3,-.059999999,.53704,,.53520101,-.064185388,-.059999999,0,-.064185388,0
1991,4,-.19,.94203001,,1.0543487,-.21514462,-.19,0,-.21514462,0
1991,5,-.02,-.23957001,,-.32591644,.02293337,0,-.02,.02293337,0
1991,6,0,0,,0,0,0,0,0,0
1991,7,.0099999998,-.02932,,-.080316089,.03420873,.0099999998,0,.03420873,0
1991,8,-.079999998,.61637002,,.62785619,-.067487083,-.079999998,0,-.067487083,0
1991,9,0,-.046470001,,-.10034957,.013394409,0,0,.013394409,0
1991,10,-.039999999,-.02066,,-.11626855,.012979262,0,-.039999999,.012979262,0
1991,11,-.12,0,,-.046067908,-.10542035,0,0,0,-.10542035
1991,12,-.25,.018479999,,-.1166161,-.26327905,-.25,0,0,-.26327905
1992,1,0,0,,0,0,0,0,0,0
1992,2,0,.036230002,,-.003746279,.017704835,0,0,.017704835,0
1992,3,0,0,,0,0,0,0,0,0
1992,4,-.2,.66952997,,.68996024,-.24447952,-.2,0,-.24447952,0
1992,5,.0099900002,-.067209996,,-.12457732,.031624366,.0099900002,0,.031624366,0
1992,6,0,0,,0,0,0,0,0,0
1992,7,-.30000001,.0557,,.018997228,-.065381572,-.30000001,0,-.065381572,0
1992,8,.0099999998,.02617,,-.015497584,.028307971,0,.0099999998,.028307971,0
1992,9,.0099999998,-.0024000001,,-.048871465,.010830037,.0099999998,0,.010830037,0
1992,10,.0099999998,-.18129,,-.2578336,.023834372,.0099999998,0,.023834372,0
