year,month,DRealGDP_L1q,DRealGDP_0q,DRealGDP_F1q,DRealGDP_F2q,DRealGDP_F3q,DRealGDP_F4q,DRealGDP_F5q,DRealGDP_F6q,DRealGDP_F7q
1980,1,,,,,,,,,
1980,2,,,,,,,,,
1980,3,,,,,,,,,
1980,4,,,,,,,,,
1980,5,,,,,,,,,
1980,6,,,,,,,,,
1980,7,,,,,,,,,
1980,8,,,,,,,,,
1980,9,,,,,,,,,
1980,10,,,,,,,,,
1980,11,,,,,,,,,
1980,12,,,,,,,,,
1981,1,,,,,,,,,
1981,2,,,,,,,,,
1981,3,,,,,,,,,
1981,4,,,,,,,,,
1981,5,,,,,,,,,
1981,6,,,,,,,,,
1981,7,,,,,,,,,
1981,8,,,,,,,,,
1981,9,,,,,,,,,
1981,10,,,,,,,,,
1981,11,,,,,,,,,
1981,12,,,,,,,,,
1982,1,,,,,,,,,
1982,2,,,,,,,,,
1982,3,,,,,,,,,
1982,4,,,,,,,,,
1982,5,,,,,,,,,
1982,6,,,,,,,,,
1982,7,,,,,,,,,
1982,8,,,,,,,,,
1982,9,,,,,,,,,
1982,10,,,,,,,,,
1982,11,,,,,,,,,
1982,12,,,,,,,,,
1983,1,,,,,,,,,
1983,2,,,,,,,,,
1983,3,,,,,,,,,
1983,4,,,,,,,,,
1983,5,,,,,,,,,
1983,6,,,,,,,,,
1983,7,,,,,,,,,
1983,8,,,,,,,,,
1983,9,,,,,,,,,
1983,10,,,,,,,,,
1983,11,,,,,,,,,
1983,12,,,,,,,,,
1984,1,,,,,,,,,
1984,2,,,,,,,,,
1984,3,,,,,,,,,
1984,4,,,,,,,,,
1984,5,,,,,,,,,
1984,6,,,,,,,,,
1984,7,,,,,,,,,
1984,8,,,,,,,,,
1984,9,,,,,,,,,
1984,10,,,,,,,,,
1984,11,,,,,,,,,
1984,12,,,,,,,,,
1985,1,,,,,,,,,
1985,2,,,,,,,,,
1985,3,,,,,,,,,
1985,4,,,,,,,,,
1985,5,,,,,,,,,
1985,6,,,,,,,,,
1985,7,,,,,,,,,
1985,8,,,,,,,,,
1985,9,,,,,,,,,
1985,10,,,,,,,,,
1985,11,,,,,,,,,
1985,12,,,,,,,,,
1986,1,,,,,,,,,
1986,2,,,,,,,,,
1986,3,,,,,,,,,
1986,4,,,,,,,,,
1986,5,,,,,,,,,
1986,6,,,,,,,,,
1986,7,,,,,,,,,
1986,8,,,,,,,,,
1986,9,,,,,,,,,
1986,10,,,,,,,,,
1986,11,,,,,,,,,
1986,12,,,,,,,,,
1987,1,,,,,,,,,
1987,2,,,,,,,,,
1987,3,,,,,,,,,
1987,4,,,,,,,,,
1987,5,,,,,,,,,
1987,6,,,,,,,,,
1987,7,,,,,,,,,
1987,8,,,,,,,,,
1987,9,,,,,,,,,
1987,10,,,,,,,,,
1987,11,,,,,,,,,
1987,12,,,,,,,,,
1988,1,,,,,,,,,
1988,2,,,,,,,,,
1988,3,,,,,,,,,
1988,4,,,,,,,,,
1988,5,,,,,,,,,
1988,6,,,,,,,,,
1988,7,,,,,,,,,
1988,8,,,,,,,,,
1988,9,,,,,,,,,
1988,10,,,,,,,,,
1988,11,,,,,,,,,
1988,12,,,,,,,,,
1989,1,,,,,,,,,
1989,2,,,,,,,,,
1989,3,,,,,,,,,
1989,4,,,,,,,,,
1989,5,,,,,,,,,
1989,6,,,,,,,,,
1989,7,,,,,,,,,
1989,8,,,,,,,,,
1989,9,,,,,,,,,
1989,10,,,,,,,,,
1989,11,,,,,,,,,
1989,12,,,,,,,,,
1990,1,,,,,,,,,
1990,2,,,,,,,,,
1990,3,,,,,,,,,
1990,4,,,,,,,,,
