year,month,day,FOMCused,DNY3M,DNY6M,DNY1,DNY2,DNY3,DNY5,DNY10,DNF1,DNF2,DNF3,DNF5,DNF10,DRY2,DRY3,DRY5,DRY10,DRF2,DRF3,DRF5,DRF10,stratRF3,Dlsp500,Dbkeveny2,Dbkeveny3,Dbkeveny5,Dbkeveny10,dffr1,dffr2,dedfutbeg2_m,dedfutbeg3,dedfutbeg4
2000,1,4,0,-.05,-.06,-.0574002,,,-.0934,-.0868001,-.0557003,,,-.0573001,-.1113,,,-.0272002,-.0120997,,,-.0114999,.0034003,0,-3.909912,,,-.0661998,-.0747001,-.0344444,.0036364,-.0500031,-.05,-.06
2000,1,5,0,.01,-.01,.0615001,,,.1115999,.1108999,.1024003,,,.1248999,.0958996,,,.0120001,.0166998,,,.0249,.0103998,0,.1920166,,,.0995998,.0942001,-.0119231,.02,.0500031,.06,.05
2000,1,11,0,.01,.02,.0418,,,.0857,.0893998,.0633001,,,.0943003,.0911999,,,.0113001,.0110002,,,.0162001,.0084996,0,-1.31488,,,.0744002,.0783999,0,.01,.0699997,.09,.09
2000,1,12,0,.02,.04,.0332999,,,.0485001,.0386,.0513,,,.0573997,.0021,,,-.0369,-.0320997,,,-.0516,-.0089998,0,-.4395752,,,.0853999,.0707002,-.0163158,.01,.0200043,.02,.02
2000,1,18,0,.15,.1,.0166998,,,.0613003,.0468998,.0243998,,,.0743999,.0051999,,,0,.0148997,,,.0320001,.0246,0,-.6855469,,,.0613,.0320001,.0238462,-.0025549,.0099945,.01,.03
2000,1,19,0,-.05,-.01,-.0219998,,,-.0211,-.0323,-.0138998,,,-.0376,-.0446,,,.0049,.0047002,,,-.0023999,.0091996,0,.0521851,,,-.026,-.0369999,.0258333,-.0186,-.0099945,-.01,-.03
2000,1,25,0,.02,.01,.0046,,,.0015001,.0082002,-.0152001,,,.0481,-.0281,,,-.0164003,-.0230999,,,-.0278001,-.0290003,0,.6046753,,,.0179,.0313001,0,0,0,0,.01
2000,1,26,0,.01,0,.0146003,,,.0134001,-.0427003,.0257001,,,-.0393,-.1349001,,,-.0211997,-.0163002,,,-.0125003,-.0113997,0,-.4221802,,,.0346,-.0264001,0,0,.0200043,.02,.02
2000,2,1,0,-.05,-.02,.0081,,,-.0212002,-.0351,.0144,,,-.0040998,-.0998001,,,.0135002,.0068002,,,.0054002,-.0026999,0,1.05719,,,-.0347002,-.0418999,-.0103571,.0125765,-.0100021,-.02,-.02
2000,2,2,1,-.05,-.01,.0263,,,.0099001,-.0218,.0394001,,,-.0209002,-.0872998,,,-.0399003,-.0387001,,,-.0351,-.0676999,0,-.0113525,,,.0498002,.0169001,-.0537037,-.0112222,.0500031,.06,.06
2000,2,8,0,-.03,-.02,-.0167999,,,-.0356998,-.0911002,-.0174999,,,-.0984001,-.1750998,,,.0215001,.0058999,,,.0144,-.0262003,0,1.219849,,,-.0572,-.0969999,-.0138095,-.02,-.0400009,-.03,-.05
2000,2,9,0,-.03,-.03,-.0058002,,,.0271997,.0900002,-.0051003,,,.1047001,.1704001,,,.0149999,.0113001,,,.0143003,.0085001,0,-2.103516,,,.0121999,.0786998,0,.01,0,0,0
2000,2,15,0,.07,-.03,.0030999,,,.0344,.0333004,.0316,,,.0229001,.0433002,,,-.0256,-.0151997,,,-.0106001,.0022998,0,.8674927,,,.0599999,.0485001,0,0,.0099945,.01,.02
2000,2,16,0,-.02,-.01,-.0053,,,.0015998,.0163999,-.0387998,,,.0393,.0170002,,,.0064998,.0056,,,.0030999,.0089002,0,-1.030945,,,-.0049,.0107999,0,0,.0200043,.02,.03
2000,2,22,0,.07,.01,-.0362997,,,-.1158996,-.1083002,-.0932999,,,-.1234999,-.0771999,,,-.0197001,-.0215998,,,-.0281,-.0172,0,.4506836,,,-.0962,-.0867002,-.01,-.035,-.0899963,-.12,-.13
2000,2,23,0,0,0,.0538998,,,.0948,.0706,.1005001,,,.0742998,.0285997,,,.0168004,.0198998,,,.0313001,.0141997,0,.6281128,,,.0780001,.0507002,.01,.01,.0299988,.06,.07
2000,2,29,0,-.02,0,.0409999,,,.0627003,.0127997,.0918002,,,.0153999,-.0734,,,.0036001,.0016999,,,.0022001,0,0,1.353516,,,.0590999,.0111001,0,0,.0199966,.03,.02
2000,3,1,0,-.02,0,-.0163002,,,-.0392003,-.0054998,-.0112,,,-.0488,.0908003,,,-.0028,-.0068002,,,-.0174003,-.0054002,0,.9302368,,,-.0364001,.0012999,0,0,-.0200024,-.03,-.04
2000,3,7,0,-.02,-.01,-.0307999,,,-.0366001,.0002999,-.0651999,,,.0261002,.0354996,,,-.0184002,-.0215001,,,-.0301003,-.0149002,0,-2.596558,,,-.0181999,.0218,-.0129167,.0258333,-.0299988,-.04,-.04
2000,3,8,0,0,.02,.0065999,,,-.0077,.0141001,-.0107002,,,-.0212998,.0772004,,,.0005002,0,,,-.0004001,-.0004997,0,.8140259,,,-.0081999,.0141001,0,0,.0100021,.01,.01
2000,3,14,0,-.02,-.01,-.0033998,,,-.0535002,-.0608001,-.0267,,,-.0592999,-.0792003,,,-.0188999,-.0145998,,,-.0216999,-.0011997,0,-1.784363,,,-.0346,-.0462,0,0,0,-.01,-.01
2000,3,15,0,-.02,0,.0184002,,,-.0153003,-.0422997,.0232997,,,-.0606999,-.0671,,,-.0345001,-.0131001,,,-.0001001,.0018997,0,2.398254,,,.0192001,-.0292001,0,.0103333,0,.01,.01
2000,3,21,1,-.04,-.04,-.0096998,,,-.0297003,-.0448003,-.0174003,,,-.0832,-.0198002,,,-.0181003,-.0132003,,,-.0151,-.0093002,0,2.524475,,,-.0116,-.0316,-.031,.0330667,-.0100021,-.03,-.03
2000,3,22,0,0,-.02,-.0085998,,,-.0058999,.0100002,-.0184999,,,.0179,.0272002,,,-.0383,-.0307999,,,-.0393,-.0267,0,.4521484,,,.0324001,.0408001,0,-.0134783,-.0199966,-.02,0
2000,3,28,0,0,-.02,-.0206003,,,-.0507998,-.0212002,-.0448003,,,-.0271001,.0293999,,,-.0110998,-.0114999,,,-.0042,-.0182998,0,-1.064148,,,-.0397,-.0097001,0,-.0163158,-.0099945,-.02,-.02
2000,3,29,0,.01,.01,-.0005999,,,-.0046,.0073004,-.0057001,,,-.0014,.0372,,,-.0077004,-.0076003,,,-.0085998,-.0075002,0,.0523682,,,.0031002,.0149,0,0,-.0200043,-.02,-.02
2000,4,4,0,-.04,-.08,-.0844002,,,-.1332002,-.0835996,-.1283998,,,-.0694003,-.0272999,,,-.0020001,-.0123,,,-.0014,-.0306001,0,-.7491455,,,-.1311998,-.0713,-.0230769,-.1184615,-.2099991,-.25,-.24
2000,4,5,0,.03,.02,.0124002,,,.0135999,.0064998,-.0016003,,,-.0014,.0127997,,,.0094001,.0123999,,,.0244002,.0102,0,-.4935913,,,.0042,-.0058999,.012,.0395556,.0800018,.11,.09
2000,4,11,0,-.02,.02,.0189996,,,.0880003,.1021004,.0352998,,,.1293998,.1013999,,,.0069001,-.0032001,,,-.0039001,-.0132,0,-.2575684,,,.0811,.1052999,0,0,.0200043,.05,.06
2000,4,12,0,0,-.04,.0095,,,.0846,.0792999,.0353003,,,.1244998,.0310998,,,.0259001,.0327001,,,.0375004,.0316999,0,-2.252319,,,.0587001,.0466001,0,0,0,.01,0
2000,4,18,0,-.01,-.04,-.0064001,,,.0193,.007,.0128002,,,.0137,-.0204,,,.0075998,.0079,,,.02,0,0,2.825989,,,.0117002,-.0009,0,0,0,.01,.01
2000,4,19,0,0,.01,.0121999,,,-.0535002,-.0910997,.0046,,,-.1216998,-.1212001,,,-.0154998,-.0133998,,,-.0257998,-.0020001,0,-.9856567,,,-.0380001,-.0777001,-.0272727,.0068182,.0199966,.03,.02
2000,4,25,0,-.01,.01,.0798001,,,.1532998,.0988002,.1221995,,,.1357002,-.0233998,,,.0213001,.0140002,,,.0160003,.0030999,0,3.273376,,,.132,.0848,.02,.0342857,.0999985,.13,.14
2000,4,26,0,-.04,.01,.0215998,,,.0079002,.0046,.0508003,,,-.0137,.0151,,,-.0008001,.0002999,,,.0077,-.0032001,0,-1.119629,,,.0087001,.0043001,0,.0166667,.0100021,.01,0
2000,5,2,0,-.08,-.03,.0166998,,,.0220003,.0580001,.0088,,,.0735998,.0966001,,,.0355,.0020001,,,.0011001,-.0327001,0,-1.506958,,,-.0135,.056,0,0,0,.02,0
2000,5,3,0,-.01,.01,.0287004,,,.0625997,.0988998,.0102,,,.1186004,.1364002,,,.0098,.0114,,,.0146999,.0091002,0,-2.180176,,,.0528002,.0875001,.0110714,.0081494,.0600052,.07,.08
2000,5,9,0,-.05,-.06,-.0099001,,,-.0363002,-.0457001,-.0212998,,,-.0497999,-.0569,,,.0404,.0331001,,,.0321999,.0204,0,-.8483276,,,-.0767,-.0788,0,0,-.0400009,-.05,-.05
2000,5,10,0,0,0,.0102,,,-.0653996,-.0788999,.0023999,,,-.0817003,-.0984998,,,.0029001,-.0035,,,-.0124998,-.0093,0,-2.081482,,,-.0683,-.0753999,-.0147619,-.01,-.0099945,-.04,-.05
2000,5,16,1,-.05,-.02,.0148001,,,-.0177999,-.0422001,.0112,,,-.0536003,-.0729003,,,-.0194998,-.0172,,,-.0201001,-.0116999,0,.937561,,,.0017002,-.0250001,.0413333,.04,.0400009,.01,-.02
2000,5,17,0,-.15,-.09,.0267,,,.033,.0588999,.0379,,,.0718002,.0855002,,,.0179,.0314999,,,.0570002,.0284998,0,-1.252014,,,.0151,.0274,0,.0442857,.0499954,.05,.02
2000,5,23,0,0,.01,-.0012002,,,.007,-.0005999,.0082002,,,-.0113001,-.0057998,,,.006,-.0036001,,,-.0030999,-.0145001,0,-1.936218,,,.0009999,.003,0,0,.0200043,.03,.04
2000,5,24,0,-.09,-.02,.0189004,,,.0347004,.0311999,.0370002,,,.0416002,.0186,,,-.0376,-.007,,,-.0068002,.0317001,0,1.816895,,,.0723,.0382001,0,-.0155,0,.03,.02
2000,5,30,0,.04,.08,.0421,,,.0574002,.0510998,.0785999,,,.0548997,.0380001,,,.0053997,-.0061998,,,-.0214996,-.0105,0,3.17334,,,.0519998,.0572999,0,.0547059,.0599976,.08,.09
2000,5,31,0,-.24,-.09,-.0347996,,,-.0823998,-.0941,-.0295,,,-.1052999,-.0969005,,,-.0380998,-.0275002,,,-.0379,-.0037,0,-.130127,,,-.0442998,-.0665998,0,0,-.0100021,-.03,-.05
2000,6,6,0,.01,.01,.0337,,,.0244999,.0068002,.0177999,,,.0226998,-.0302,,,-.0012002,-.0023999,,,-.0135999,.0057001,0,-.6693115,,,.0256999,.0092001,0,.031,-.1500015,.02,.03
2000,6,7,0,-.07,-.03,.0132999,,,-.0121002,-.0250001,.0249,,,-.0441999,-.0311003,,,-.0120997,-.0089998,,,-.0028,-.0091,0,.9230957,,,0,-.016,0,0,.2000046,.04,.04
2000,6,13,0,-.05,-.03,-.0465002,,,.013,-.0214,-.1023998,,,-.0163002,-.0323,,,-.0162997,-.0127997,,,-.02,.0002999,0,1.608032,,,.0293,-.0086,0,-.03,.1399994,-.09,-.08
2000,6,14,0,-.06,-.02,-.0517998,,,-.0629997,.0130997,-.0023003,,,.0172,.0922999,,,.0116997,.0114999,,,.0081,.0144999,0,.0748291,,,-.0747001,.0015998,0,-.03,-.0499954,-.06,-.05
2000,6,20,0,-.05,-.01,.0109,,,.0267,.0156002,.0246997,,,-.0014997,.0109,,,.0091,.0004001,,,.0185003,-.0288,0,-.6786499,,,.0176001,.0151999,0,0,.0400009,.05,.06
2000,6,21,0,.02,0,.0510998,,,.0855999,.0763998,.0918002,,,.0862999,.0506001,,,.0079002,.0105,,,.0407996,-.0074,0,.215271,,,.0776999,.0659001,0,.0129167,.0400009,.06,.62
2000,6,27,0,.01,0,.0193996,,,-.0042,-.0212002,.0124002,,,-.0042,-.0670996,,,-.0039001,.0008001,,,.0024996,.0066001,0,-.3276367,,,-.0002999,-.0219998,0,0,0,0,0
2000,6,28,1,-.02,-.01,-.0180998,,,.0068998,.0265999,-.0311003,,,.0464001,.0418,,,.0068998,.0125999,,,.0118003,.0191,0,.2939453,,,0,.0139999,-.02,-.02,-.0099945,-.01,0
2000,7,5,0,-.01,-.05,-.0146003,,,-.0186,-.0181003,-.0099001,,,-.0257001,-.0081,,,.0030999,-.0058,,,-.0113001,-.0179999,0,-1.598877,,,-.0216999,-.0123,0,0,-.0599976,-.06,-.05
2000,7,11,0,0,.01,.0146999,,,.0278001,.0064001,.0077,,,.0225,-.0401001,,,-.0000997,.0001001,,,.0046,-.003,0,.355835,,,.0279,.0063,0,.01,.0199966,.02,.02
2000,7,12,0,.07,.02,.0120001,,,.0335999,.0141001,-.0094004,,,.0346999,-.0353999,,,.0121999,.0091999,,,.0110002,.0042999,0,.8097534,,,.0214,.0049002,0,0,.0100021,.02,.03
2000,7,18,0,.01,.01,-.0180998,,,-.0105,-.0093999,-.0139999,,,-.0221,.0074,,,-.0236998,-.0251999,,,.0007,-.0432999,0,-1.115112,,,.0132,.0158,0,0,.0100021,.01,.01
2000,7,19,0,.02,.02,.0175996,,,.007,.0092998,.0193,,,.0207,-.0023999,,,.0099001,.0050001,,,.0096998,-.0039999,0,-.791748,,,-.0028999,.0043001,0,0,0,0,0
2000,7,25,0,-.01,-.01,-.0061002,,,-.0074,-.0037003,-.0002003,,,-.0008001,-.0044999,,,-.0085001,-.0052998,,,-.0102,.0023999,0,.6928101,,,.0011001,.0016,0,0,-.0100021,-.02,-.02
2000,7,26,0,-.02,0,.0013003,,,-.0084,.0018001,-.0044999,,,-.0053,.0250998,,,-.0058999,-.0034001,,,-.0032001,.0016,0,-1.506775,,,-.0025001,.0051999,0,-.0157895,0,0,0
2000,8,1,0,-.02,-.03,-.0047002,,,-.0537,-.0441003,-.0533996,,,-.0414,-.0308003,,,-.0088,-.0077002,,,-.0035,-.0105,0,.5067749,,,-.0448999,-.0364001,-.0723333,-.0076667,-.0199966,-.03,-.04
2000,8,2,0,0,-.04,-.026,,,-.0261998,-.0148001,-.0235004,,,-.0287004,.0206003,,,-.007,-.0165,,,-.0197001,-.017,0,.041748,,,-.0192001,.0016999,-.0106897,-.0339655,-.0300064,-.04,-.05
2000,8,8,0,-.02,-.02,-.0193,,,-.0483999,-.0353999,-.0072999,,,-.0524998,-.0039001,,,-.0041001,.01,,,.0109,.0244999,0,.2349854,,,-.0443001,-.0454001,0,0,-.0400009,-.04,-.05
2000,8,9,0,-.01,0,.0037999,,,-.007,-.0099001,-.0114002,,,-.0239,-.0037999,,,.0146999,-.0029001,,,-.0092001,-.0172999,0,-.671936,,,-.0217,-.007,0,0,.0099945,-.01,-.01
2000,8,15,0,.01,.01,.0163999,,,.0299001,.0232997,.0320997,,,.0222998,.0127001,,,.0134001,.0157001,,,.0159001,.0169001,0,-.479187,,,.0165,.0076001,0,0,0,0,.01
2000,8,16,0,-.01,-.02,-.0021,,,.0221,.0317001,.0302,,,.0152001,.0573001,,,.0063,.0063999,,,.0079999,.0098,0,-.309021,,,.0158,.0253,0,0,.0100021,.02,.03
2000,8,22,1,-.02,-.02,-.0030999,,,-.0132003,-.0038996,-.0112,,,.0356998,-.0240998,,,-.0147002,-.0018001,,,-.0077,.0172,0,-.0900879,,,.0015,-.0021,0,-.0110714,.0099945,.02,.02
2000,8,23,0,.01,.01,-.0372,,,-.0572,-.0514002,-.0471001,,,-.0727,-.0207,,,.0021999,-.0272,,,-.0573997,-.0288,0,.5219727,,,-.0594,-.0242,0,-.0295238,-.0400009,-.04,-.05
2000,8,29,0,-.01,0,.0345998,,,.0355,.0496001,.0737,,,.0901999,.0048003,,,.0023,.0044,,,.0093999,.0035999,0,-.2810669,,,.0332001,.0452,0,0,.0200043,.02,.02
2000,8,30,0,.01,0,-.0159998,,,-.0043001,-.0075002,-.0261998,,,-.0033002,-.0145001,,,.0153,.0128,,,.0056,.0123999,0,-.4813232,,,-.0196002,-.0202999,0,0,-.0100021,-.02,-.01
2000,9,5,0,0,0,.0053997,,,.0061998,.0012999,.0397997,,,.0228,-.0295,,,.0073001,.0037,,,.0034003,.0046,0,-.9042969,,,-.0010999,-.0023999,0,0,-.1100006,.02,.01
2000,9,6,0,-.06,-.02,.0225,,,.0331001,.0517001,.0195003,,,.0749002,.0603004,,,.0025001,-.0026999,,,-.0088,-.0044,0,-.9888916,,,.0306,.0544,0,0,.0299988,.03,.03
2000,9,12,0,-.02,-.02,.0111003,,,.0058999,.0091,.0082002,,,.0237999,.0072999,,,.0067,-.0033002,,,-.0075002,-.0091,0,-.4893799,,,-.0008,.0124002,0,0,-.0099945,-.01,-.02
2000,9,13,0,0,-.02,-.0604,,,-.0465999,-.0339999,-.0448003,,,-.0562,.0037003,,,-.0102,-.0049999,,,.0004001,-.0020001,0,.1968994,,,-.0364001,-.029,0,-.01,.0899963,-.05,-.05
2000,9,19,0,.02,.01,.0331001,,,-.0079002,-.0173998,.0630999,,,-.0149999,-.0446,,,-.0040998,-.0056,,,-.0082002,-.0028,0,1.059753,,,-.0038,-.0118001,0,0,.0199966,.02,.03
2000,9,20,0,-.01,.01,.0267997,,,.0426002,.0401998,.0168004,,,.0197997,.0604,,,.0019999,-.0034001,,,-.0103998,-.0074999,0,-.5880737,,,.0406001,.0435998,-.03,.0075,.0199966,.03,.03
2000,9,26,0,0,-.01,-.0159001,,,-.0302,-.0352001,-.0487003,,,-.0118999,-.0641999,,,-.0086999,-.0074999,,,-.0014,-.0089002,0,-.8248291,,,-.0215,-.0277002,0,0,-.0200043,-.03,-.04
2000,9,27,0,.02,.04,-.0018001,,,-.0078001,.0281997,-.0110998,,,.0222001,.0915999,,,-.0228002,-.0037,,,.0125999,.0151,0,-.0448608,,,.015,.0319002,0,0,0,-.01,-.01
