year,month,day,FOMCused,dffr1,dffr2,dedfutbeg2_m,dedfutbeg3,dedfutbeg4,DNY1
1995,2,1,1,.0518519,.06,.0999985,.17,.18,.0344
1995,2,2,0,-.0107692,0,.0100021,.02,.09,.0797
1995,2,3,0,0,-.13,-.2900009,-.36,-.37,-.2182999
1995,2,6,0,-.0127273,.01,.0299988,.06,.06,.0267
1995,2,7,0,0,-.01,0,0,-.02,-.0062003
1995,2,8,0,0,-.01,-.0400009,-.03,-.01,-.0239
1995,2,9,0,0,.02,.0699997,.08,.06,.0135002
1995,2,10,0,0,.0222222,.0400009,.08,.1,.0809002
1995,2,13,0,0,0,0,0,0,-.0073004
1995,2,14,0,-.02,-.032,-.0500031,-.1,-.14,-.0627999
1995,2,16,0,-.0933333,-.0641667,-.2299957,-.28,-.28,-.1457996
1995,2,17,0,0,.0130435,.0199966,.03,.05,.0140996
1995,2,21,0,0,.015,.0100021,.04,.04,.0187001
1995,2,22,0,-.01,-.0889474,-.2200012,-.33,-.37,-.1086998
1995,2,23,0,0,-.0166667,0,.03,.04,-.0556002
1995,2,24,0,0,.0176471,-.0299988,-.01,-.02,.0351
1995,2,27,0,-.01,-.01,-.0699997,-.11,-.16,-.0837002
1995,2,28,0,.01,.01,.0100021,-.01,-.01,.0013003
1995,3,1,0,0,0,.0500031,.02,0,.0128999
1995,3,2,0,-.0213793,.0427586,.0399933,.09,.09,.0447998
1995,3,3,0,0,.0666667,.0700073,.1,.09,.0363002
1995,3,6,0,.0124,.02,.0399933,.06,.06,.0686998
1995,3,7,0,0,.03,.0699997,.05,.05,.0139999
1995,3,8,0,-.0134783,-.04,-.109993,-.12,-.11,-.0318999
1995,3,9,0,-.0704545,-.03,-.1100006,-.12,-.1,-.0668998
1995,3,13,0,0,-.0413333,-.0800018,-.09,-.09,-.0643997
1995,3,14,0,-.0182353,-.0201217,-.0599976,-.08,-.1,-.0437002
1995,3,15,0,.019375,.020067,.0399933,.03,.02,.0103002
1995,3,16,0,0,-.022963,-.0399933,-.04,-.07,-.0310001
1995,3,17,0,-.0221429,.0161813,.0399933,.04,.05,.0106001
1995,3,21,0,.062,-.0215652,.0100021,.03,.01,.0092001
1995,3,22,0,-.0344444,.0140909,0,.02,.04,.0235996
