year,month,day,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,DNY1
1995,2,1,1,.0622276,.0399933,.0500031,.0500031,.0500031,.0344
1995,2,2,0,.0107715,-.1399994,0,.0199966,.0200043,.0797
1995,2,3,0,0,.0100021,.0100021,.0100021,-.0100021,-.2182999
1995,2,6,0,0,-.0199966,.0200043,.0200043,.0100021,.0267
1995,2,7,0,-.013326,-.0100021,-.0199966,.0099945,-.0100021,-.0062003
1995,2,8,0,.0139923,.0100021,0,.0099945,.0099945,-.0239
1995,2,9,0,0,.0100021,.0100021,.0100021,.0299988,.0135002
1995,2,10,0,.015547,-.0128409,0,-.0100021,0,.0809002
1995,2,13,0,0,-.0115409,-.0199966,-.0199966,-.0100021,-.0073004
1995,2,14,0,.019989,-.0160004,-.0299988,-.0300064,-.0400009,-.0627999
1995,2,16,0,-.0233205,.0433286,.0199966,.0299988,.0299988,-.1457996
1995,2,17,0,-.02546,.0077487,-.0199966,-.0100021,-.0299988,.0140996
1995,2,21,0,0,0,.0100021,.0200043,.0100021,.0187001
1995,2,22,0,0,0,-.0100021,-.0100021,-.0199966,-.1086998
1995,2,23,0,0,.0333405,.0299988,.0599976,.0800018,-.0556002
1995,2,24,0,.0099945,-.0252937,-.0300064,-.0200043,-.0299988,.0351
1995,2,27,0,-.0099945,.0592334,0,.0499954,.0400009,-.0837002
1995,2,28,0,0,-.0500107,-.0199966,-.0199966,-.0299988,.0013003
1995,3,1,0,0,.0545571,.0100021,.0200043,.0299988,.0128999
1995,3,2,0,.0106919,.0386061,-.0100021,-.0200043,0,.0447998
1995,3,3,0,0,.1333364,0,0,0,.0363002
1995,3,6,0,.0124026,.0100021,.0199966,.0099945,-.0199966,.0686998
1995,3,7,0,0,0,.0300064,.0100021,.0100021,.0139999
1995,3,8,0,-.0134811,.0199966,.0099945,-.0200043,-.0100021,-.0318999
1995,3,9,0,.0140939,.0200043,-.0200043,-.0199966,-.0099945,-.0668998
1995,3,13,0,0,-.0310066,0,0,-.0099945,-.0643997
1995,3,14,0,-.0182253,.0012569,-.0200043,-.0300064,-.0199966,-.0437002
1995,3,15,0,0,-.0110738,0,0,-.0100021,.0103002
1995,3,16,0,.0206553,-.00306,.0200043,.0200043,.0099945,-.0310001
1995,3,17,0,0,0,.0199966,.0299988,.0199966,.0106001
1995,3,21,0,0,.0134811,.0199966,.0099945,.0200043,.0092001
1995,3,22,0,0,-.0140939,-.0199966,-.0100021,-.0200043,.0235996
1995,3,23,0,0,0,.0100021,.0199966,.0199966,-.0103998
1995,3,24,0,.0100021,-.0365078,-.0100021,0,-.0099945,-.0509
1995,3,27,0,0,-.0163068,.0100021,-.0099945,-.0100021,-.0332999
1995,3,28,1,-.0100021,.0675144,.0299988,.0299988,.0299988,.0612998
1995,3,29,0,.0100021,.0100021,.0100021,.0199966,.0100021,-.0065999
1995,3,30,0,.0200043,-.0021433,-.0299988,-.0299988,-.0299988,.0309
1995,3,31,0,0,-.0238512,0,.0100021,0,.0509
1995,4,3,0,0,-.0258191,-.0199966,-.0100021,-.0099945,-.0304999
1995,4,4,0,0,0,-.0100021,0,0,-.0363998
1995,4,5,0,0,0,.0099945,0,0,-.0134001
1995,4,6,0,-.0125027,0,.0199966,0,0,-.0418
1995,4,7,0,0,.0100021,0,.0099945,0,-.0089002
1995,4,10,0,-.0150032,-.0299988,-.0100021,-.0199966,-.0199966,.0120001
1995,4,11,0,0,-.0100021,.0099945,.0199966,.0099945,-.0216999
1995,4,12,0,0,-.0100021,-.0199966,0,-.0199966,-.0179
1995,4,13,0,.0352882,-.021903,-.0599976,-.0699997,-.0800018,-.0753999
1995,4,17,0,.0230819,.0090679,0,.0199966,.0100021,-.0237002
1995,4,18,0,0,.0120026,0,.0100021,0,-.0282001
1995,4,19,0,0,-.0125027,-.0299988,-.0300064,-.0200043,.0310001
1995,4,20,0,0,-.0260925,0,0,.0100021,-.0348001
1995,4,21,0,0,0,-.0100021,-.0100021,-.0100021,.0029001
1995,4,24,0,0,0,0,0,0,.0285001
1995,4,25,0,.0099945,-.006663,.0100021,-.0200043,-.0200043,.013
1995,4,26,0,0,0,-.0100021,-.0199966,-.0100021,.0163999
1995,4,27,0,0,-.0187397,.0100021,.0100021,.0200043,.0342002
1995,5,1,0,0,0,-.0099945,-.0100021,0,.0029001
1995,5,2,0,.0106838,-.0336432,.0100021,.0100021,.0100021,-.0538001
1995,5,3,0,0,-.0272786,-.0100021,.0099945,.0100021,-.0994997
1995,5,4,0,0,.0299835,.0100021,.0299988,.0100021,-.0638003
1995,5,5,0,.0119256,.0054886,.0100021,.0100021,.0100021,-.1141996
1995,5,8,0,0,-.037508,-.0199966,-.0100021,-.0199966,.0253997
1995,5,9,0,0,.0099945,.0500031,.0699997,.0499954,-.0527997
1995,5,10,0,-.0147651,.0200043,.0100021,-.0099945,-.0100021,.0239
1995,5,11,0,0,-.0199966,-.0100021,-.0400009,-.0400009,.0229998
1995,5,12,0,0,-.0299988,.0100021,0,.0099945,.0474
1995,5,15,0,0,-.0300064,0,.0100021,0,-.0426998
1995,5,16,0,.0206553,-.0100021,-.0099945,-.0100021,-.0100021,-.0201001
1995,5,17,0,0,0,-.0199966,-.0200043,-.0199966,-.0091
1995,5,18,0,-.0238331,-.0073332,-.0100021,0,-.0100021,.0546999
1995,5,19,0,0,0,-.0100021,-.0099945,0,.0033002
1995,5,22,0,0,0,-.0099945,.0100021,.0100021,.0214996
1995,5,23,1,0,-.0496011,-.0099945,0,-.0100021,-.0506997
1995,5,24,0,0,-.0309948,-.0200043,-.0100021,-.0400009,-.1101999
1995,5,25,0,0,.0163193,-.0100021,-.0100021,0,.0152998
1995,5,26,0,0,-.0344387,-.0699997,-.0799942,-.0800018,-.0158
1995,5,30,0,0,.0182392,-.0199966,0,0,-.0528002
1995,5,31,0,0,-.0221476,0,0,0,-.0067997
1995,6,1,0,0,-.0238512,-.0199966,-.0199966,-.0199966,-.1321001
1995,6,2,0,.021425,-.008084,.0200043,.0100021,0,-.1849999
1995,6,5,0,.0120026,.0345313,-.0200043,-.0299988,-.0200043,.0317001
1995,6,6,0,0,.0310066,.0299988,.0400009,.0299988,.0249
1995,6,7,0,0,.0400009,.1100006,.1399994,.1500015,.1412997
1995,6,8,0,0,.0200043,0,.0100021,.0199966,.0882001
1995,6,9,0,.0142888,.0200043,.0100021,.0400009,.0400009,.1231999
1995,6,12,0,0,.0099945,.0100021,0,-.0099945,-.0155001
1995,6,13,0,-.0176508,-.0099945,-.0100021,-.0200043,-.0299988,-.2781
1995,6,14,0,0,0,.0100021,0,-.0099945,.0142002
1995,6,15,0,0,.0103355,.0300064,.0599976,.0499954,.046
1995,6,16,0,0,-.0427596,-.0100021,-.0100021,0,.0402999
1995,6,19,0,.0272786,-.0250618,-.0100021,0,0,-.0941
1995,6,20,0,-.0300064,-.0070385,0,-.0200043,-.0299988,.046
1995,6,21,0,0,0,0,0,0,-.0169001
1995,6,22,0,0,.0134811,0,-.0100021,0,-.0601997
1995,6,23,0,.0300064,-.0263585,-.0199966,-.0099945,-.0100021,.0216999
1995,6,26,0,.0100021,.0099909,0,0,0,.0447001
1995,6,27,0,.0100021,.0254936,0,0,0,.0249996
1995,6,28,0,-.0100021,-.0100021,-.0200043,-.0299988,-.0399933,-.0274
1995,6,29,0,0,.0193791,.0100021,.0199966,0,.1200004
1995,6,30,0,0,-.0206711,0,-.0100021,.0100021,-.0481
1995,7,3,0,-.0332129,-.0261128,-.0100021,-.0100021,-.0199966,-.0078001
1995,7,5,0,-.0119256,-.0073388,-.0100021,0,0,-.0103002
1995,7,6,1,-.0992023,-.1363966,-.2800064,-.2699966,-.25,-.1718998
1995,7,7,0,-.0129194,.0315808,0,-.0099945,.0100021,-.0269003
1995,7,10,0,.0147651,-.0424495,0,-.0099945,.0100021,.0204
1995,7,11,0,0,-.0100021,-.0300064,-.0299988,-.0199966,.0441999
1995,7,12,0,0,-.0199966,-.0299988,0,0,-.0077996
1995,7,13,0,0,.0099945,.0100021,.0099945,.0100021,.006
1995,7,14,0,0,.0200043,0,.0100021,-.0100021,.0688996
1995,7,17,0,0,.0100021,.0299988,.0099945,.0199966,.0360003
1995,7,18,0,0,.0200043,.0400009,.0400009,.0400009,-.0001001
1995,7,19,0,0,0,.0100021,.0199966,0,.0749998
1995,7,20,0,0,-.0120026,0,-.0099945,-.0099945,.0092001
1995,7,21,0,0,.0125027,.0100021,.0100021,.0099945,.0218
1995,7,24,0,0,.0130363,0,0,-.0100021,.0153999
1995,7,25,0,0,0,0,.0200043,.0200043,-.0127001
1995,7,26,0,0,0,.0099945,.0299988,.0199966,.0176001
1995,7,27,0,.0099945,-.006663,-.0100021,-.0099945,-.0199966,-.0653996
1995,7,28,0,0,0,0,-.0100021,.0100021,.0088
1995,7,31,0,0,.018754,-.0299988,-.0100021,-.0299988,-.0270004
1995,8,1,0,-.0103277,-.0296809,-.0100021,0,0,.0487003
1995,8,2,0,0,.0250053,.0099945,.0099945,0,-.0544
1995,8,3,0,.0110738,-.0191275,-.0199966,0,0,.0572996
1995,8,4,0,0,0,.0200043,.0100021,.0199966,-.0316
1995,8,7,0,0,0,.0100021,-.0100021,0,-.0143995
1995,8,8,0,-.0134811,-.0004349,-.0199966,-.0299988,-.0299988,.0091
1995,8,9,0,0,.0200043,.0100021,0,-.0100021,.0074
1995,8,10,0,0,.0099945,.0299988,.0199966,.0299988,.0175996
1995,8,11,0,0,-.0099945,-.0100021,-.0099945,.0100021,.0789003
1995,8,14,0,0,-.0099945,0,.0100021,.0200043,-.0080004
1995,8,15,0,0,-.0100021,0,-.0099945,-.0299988,.0430002
1995,8,16,0,0,.0106919,-.0199966,-.0100021,-.0100021,-.0135999
1995,8,17,0,0,0,.0100021,.0100021,-.0099945,.0356998
1995,8,18,0,.0238512,-.0035335,0,-.0100021,0,.0025001
1995,8,21,0,.030983,-.0178748,.0100021,.0100021,.0100021,-.0458002
1995,8,22,1,0,.0099945,.0500031,.0500031,.0400009,.0220003
1995,8,23,0,0,-.0147651,0,0,.0100021,.0095997
1995,8,24,0,0,0,.0100021,0,.0199966,-.0955
1995,8,25,0,0,-.0163193,0,-.0100021,0,-.0688996
1995,8,28,0,.0100021,.0100021,.0200043,0,0,-.0296001
1995,8,29,0,0,.0206711,-.0099945,-.0199966,-.0099945,.0653
1995,8,30,0,.0100021,.0100021,-.0100021,-.0200043,-.0100021,-.0544
1995,8,31,0,.0100021,-.0138491,0,-.0100021,-.0100021,-.0214
1995,9,1,0,0,.0774968,.0399933,.0400009,.0600052,-.0481
1995,9,5,0,.0119934,-.0218062,0,.0200043,.0099945,.0023999
1995,9,6,0,0,-.0387583,.0099945,.0100021,-.0100021,.0018001
1995,9,7,0,0,.0199966,.0300064,.0199966,.0199966,.0365
1995,9,8,0,0,-.0100021,.0100021,0,-.0099945,.0229001
1995,9,11,0,0,.0100021,.0100021,-.0099945,0,-.0027003
1995,9,12,0,0,-.0100021,-.0100021,.0199966,.0100021,-.0506997
1995,9,13,0,0,-.0100021,0,.0099945,0,.0317998
1995,9,14,0,0,0,-.0100021,-.0099945,-.0200043,-.0942001
1995,9,15,0,-.0200043,-.0096572,0,.0100021,.0100021,.0326004
1995,9,18,0,-.0250053,.0017861,.0199966,.0199966,.0099945,.0405998
1995,9,19,0,.0272786,-.0252579,-.0100021,.0100021,-.0099945,-.0416002
1995,9,20,0,0,.0125027,.0099945,0,-.0100021,-.0030999
1995,9,21,0,0,-.0130463,-.0100021,-.0299988,-.0099945,.0558
1995,9,22,0,0,.0272681,-.0099945,-.0100021,-.0100021,.0165
