date,tightwin,widewin,daywin,tbd1,tbd2,isintermeeting,orelease,tgtfactor,pathfactor,FOMCstatt
2/8/1990,-1.4,-1.4,-1.4,0,0,,,0.3,5.8,
3/28/1990,0,0,0,0,0,,,1.5,-3.3,
5/16/1990,0,0,0,0,0,,,2.5,-3.4,
7/5/1990,0,0,0,0,0,,,0.4,3.9,
7/13/1990,-13.8,-13.8,-13.8,0,0,1,,0.9,-1,
8/22/1990,0,0,0,0,0,,,2.3,0.8,
10/3/1990,1.1,2.2,2.2,1.1,1.1,,,1.3,-0.4,
10/29/1990,-3,-3,-2,1,0,1,,-0.9,5,
11/14/1990,1.9,1.9,3.8,1.9,0,,,4.7,-0.6,
12/7/1990,-9,-9,-27.1,-18.1,0,1,1,-5.3,5.7,
12/18/1990,-21.5,-21.5,-21.5,0,0,,,-16.1,14.1,
1/8/1991,-13.5,-14.8,-17.5,-4,-1.4,1,,-11.7,-4.6,
2/1/1991,-7.3,-10.4,-25.9,-18.7,-3.1,1,1,-6.2,1.8,
2/7/1991,0,0,0,0,0,,,1.3,-0.2,
3/8/1991,-2.7,-10.8,-16.2,-13.5,-8.1,1,1,-3.5,-3.8,
3/27/1991,-2,-1,-2,0,1,,,4.9,-10.5,
4/30/1991,-18,-17,-17,1,1,1,,-18.7,-10.5,
5/15/1991,1.9,1.9,1.9,0,0,,,3,2,
7/5/1991,0,0,0,0,0,1,,0.5,5.8,
8/6/1991,-18.6,-18.6,-14.9,3.7,0,1,,-13.5,-0.8,
8/21/1991,12.4,12.4,12.4,0,0,,,12,-7.2,
9/13/1991,-5.3,-5.3,-5.3,0,0,1,,-0.4,6.2,
10/2/1991,-1.1,-1.1,-1.1,0,0,,,2.1,2.2,
10/30/1991,-3,-5,-6,-3,-2,1,,-1.6,4.3,
11/6/1991,-10,-10,-12.5,-2.5,0,,,-11.7,-1.3,
12/6/1991,0,0,-8.7,-8.7,0,1,1,2.1,2.6,
12/18/1991,4.8,4.8,4.8,0,0,,,3.4,5.6,
12/20/1991,-36.6,-36.6,-28.2,8.5,0,1,,-32.2,-10.2,
2/6/1992,1.3,1.3,-1.3,-2.5,0,,,3.7,-1.6,
4/1/1992,1,1,1,0,0,,,0.1,4.3,
4/9/1992,-21.4,-21.4,-24.3,-2.9,0,1,,-19,-22.5,
5/20/1992,0,0,0,0,0,,,4.1,1.6,
7/2/1992,-8.6,-10.7,-36.3,-27.8,-2.1,1,,-9.7,20.8,
8/19/1992,2.6,2.6,2.6,0,0,,,4.2,-1,
9/4/1992,0,0,-21.9,-21.9,0,1,1,2.6,-2.3,
10/7/1992,0,0,5.2,5.2,0,,,3.8,-0.1,
11/18/1992,-5,-5,-10,-5,0,,,4.8,1.2,
12/23/1992,3.9,3.9,3.9,0,0,,,3.8,-6.2,
2/4/1993,0,0,-1.2,-1.2,0,,,0,3.8,
3/24/1993,0,0,0,0,0,,,2.9,3.5,
5/19/1993,-2.6,-2.6,-2.6,0,0,,,0,-1.2,
7/8/1993,2.7,2.7,2.7,0,0,,,1.8,0.1,
8/18/1993,0,0,0,0,0,,,6.4,-0.5,
9/22/1993,0,0,0,0,0,,,4,-3.2,
11/17/1993,2.3,2.3,2.3,0,0,,,0.6,1.9,
12/22/1993,0,0,0,0,0,,,3.2,-6.7,
2/4/1994,16.3,15.2,11.7,-4.7,-1.2,,1,8.1,21.8,1
3/22/1994,0,0,-3.4,-3.4,0,,,-2.2,-4.9,
4/18/1994,15,15,10,-5,0,1,,10.7,6.6,
5/17/1994,11.1,11.1,13.3,2.2,0,,,7.2,-21.2,1
7/6/1994,-5,-3.7,-5,0,1.2,,,1.8,4,
8/16/1994,12.4,14.5,14.5,2.1,2.1,,,10.7,-8.3,1
9/27/1994,-9,-9,-8,1,0,,,-4.3,7.9,
11/15/1994,12,12,14,2,0,,,10.3,-3.4,1
12/20/1994,-22.6,-22.6,-16.9,5.6,0,,,-15.1,26.6,
