Mnemonic,EDE2C.D7,EDB3C.D7,EDE3C.D7,EDB4C.D7,EDE4C.D7,EDB5C.D7,EDE5C.D7,EDB6C.D7,EDE6C.D7,EDB1C.D7,EDE1C.D7
12/9/1981,86.18,85.95,85.95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,86.40,86.40
12/10/1981,85.71,85.56,85.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.86,85.86
12/11/1981,85.64,85.50,85.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.80,85.80
12/12/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/13/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/14/1981,85.68,85.50,85.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.88,85.88
12/15/1981,85.83,85.66,85.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,86.05,86.05
12/16/1981,85.65,85.45,85.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.88,85.88
12/17/1981,85.11,85.06,85.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.33,85.33
12/18/1981,85.65,85.60,85.60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.90,85.90
12/19/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/20/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/21/1981,85.10,85.06,85.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.31,85.31
12/22/1981,85.06,85.04,85.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.28,85.28
12/23/1981,84.69,84.67,84.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.85,84.85
12/24/1981,84.88,84.90,84.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.09,85.09
12/25/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/26/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/27/1981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/28/1981,84.68,84.66,84.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.83,84.83
12/29/1981,84.80,84.80,84.80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.89,84.89
12/30/1981,85.00,85.00,85.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.15,85.15
12/31/1981,85.42,85.37,85.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.58,85.58
1/1/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/2/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/3/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/4/1982,85.27,85.26,85.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.46,85.46
1/5/1982,84.90,84.90,84.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.05,85.05
1/6/1982,84.74,84.74,84.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.91,84.91
1/7/1982,84.84,84.84,84.84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.02,85.02
1/8/1982,84.95,84.96,84.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.15,85.15
1/9/1982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
