,TIPSY02,TIPSY03,TIPSY04,TIPSY05,TIPSY06,TIPSY07,TIPSY08,TIPSY09,TIPSY10,TIPSY11,TIPSY12,TIPSY13,TIPSY14,TIPSY15,TIPSY16,TIPSY17,TIPSY18,TIPSY19,TIPSY20,TIPSPY02,TIPSPY03,TIPSPY04,TIPSPY05,TIPSPY06,TIPSPY07,TIPSPY08,TIPSPY09,TIPSPY10,TIPSPY11,TIPSPY12,TIPSPY13,TIPSPY14,TIPSPY15,TIPSPY16,TIPSPY17,TIPSPY18,TIPSPY19,TIPSPY20,TIPSF02,TIPSF03,TIPSF04,TIPSF05,TIPSF06,TIPSF07,TIPSF08,TIPSF09,TIPSF10,TIPSF11,TIPSF12,TIPSF13,TIPSF14,TIPSF15,TIPSF16,TIPSF17,TIPSF18,TIPSF19,TIPSF20,TIPS1F04,TIPS1F09,TIPS5F5,BKEVENY02,BKEVENY03,BKEVENY04,BKEVENY05,BKEVENY06,BKEVENY07,BKEVENY08,BKEVENY09,BKEVENY10,BKEVENY11,BKEVENY12,BKEVENY13,BKEVENY14,BKEVENY15,BKEVENY16,BKEVENY17,BKEVENY18,BKEVENY19,BKEVENY20,BKEVEN02,BKEVEN03,BKEVEN04,BKEVEN05,BKEVEN06,BKEVEN07,BKEVEN08,BKEVEN09,BKEVEN10,BKEVEN11,BKEVEN12,BKEVEN13,BKEVEN14,BKEVEN15,BKEVEN16,BKEVEN17,BKEVEN18,BKEVEN19,BKEVEN20,BKEVENF02,BKEVENF03,BKEVENF04,BKEVENF05,BKEVENF06,BKEVENF07,BKEVENF08,BKEVENF09,BKEVENF10,BKEVENF11,BKEVENF12,BKEVENF13,BKEVENF14,BKEVENF15,BKEVENF16,BKEVENF17,BKEVENF18,BKEVENF19,BKEVENF20,BKEVEN1F4,BKEVEN1F9,BKEVEN5F5,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2015-02-06,-0.5877,-0.4375,-0.2992,-0.1731,-0.0592,0.0431,0.1343,0.2151,0.2863,0.3488,0.4034,0.4508,0.4918,0.5272,0.5575,0.5835,0.6056,0.6245,0.6405,-0.5863,-0.436,-0.2978,-0.1721,-0.0587,0.0427,0.1328,0.2123,0.2822,0.3432,0.3963,0.4423,0.482,0.5161,0.5454,0.5704,0.5917,0.6099,0.6254,-0.2757,-0.0044,0.2295,0.4266,0.5889,0.7194,0.8213,0.8982,0.9537,0.9912,1.0136,1.024,1.0248,1.0183,1.0064,0.9909,0.9733,0.9546,0.9359,0.3313,0.9298,0.7456,1.2751,1.4873,1.6215,1.6942,1.7286,1.7414,1.7434,1.7411,1.7379,1.7355,1.7349,1.7366,1.7405,1.7464,1.7542,1.7634,1.774,1.7854,1.7976,1.2769,1.4862,1.6161,1.6844,1.7146,1.7239,1.7229,1.7178,1.712,1.7072,1.7042,1.7033,1.7046,1.7078,1.7127,1.719,1.7264,1.7348,1.7437,1.7681,2.0049,2.0191,1.9448,1.8565,1.7841,1.7361,1.7118,1.7074,1.7186,1.7416,1.7728,1.8096,1.8496,1.8911,1.9326,1.9727,2.0109,2.0464,1.9951,1.7154,1.788,5.1093611,-6.02948696,-2.45622315,-11.40500319,4.89348244,30
2015-02-05,-0.732,-0.624,-0.4489,-0.2864,-0.1501,-0.0375,0.0564,0.1359,0.2043,0.2638,0.3161,0.3625,0.4037,0.4405,0.4735,0.5031,0.5297,0.5536,0.575,-0.7321,-0.6231,-0.4473,-0.2846,-0.1488,-0.0371,0.0557,0.134,0.2012,0.2594,0.3105,0.3556,0.3955,0.4312,0.463,0.4915,0.517,0.5398,0.5603,-0.7199,-0.1282,0.2467,0.4616,0.5916,0.6793,0.7449,0.7974,0.8406,0.8765,0.906,0.93,0.9488,0.9631,0.9733,0.9797,0.9828,0.9828,0.9801,0.3641,0.8214,0.6951,1.2872,1.5058,1.5922,1.6322,1.6551,1.6712,1.6846,1.6966,1.7076,1.718,1.7278,1.7368,1.7454,1.7534,1.761,1.7682,1.775,1.7816,1.7881,1.2917,1.5073,1.5888,1.6237,1.6419,1.654,1.6636,1.6719,1.6795,1.6865,1.6929,1.6988,1.7042,1.7092,1.7138,1.7182,1.7223,1.7264,1.7303,1.977,1.8958,1.8146,1.7758,1.7662,1.7721,1.785,1.7999,1.8148,1.8284,1.8406,1.8512,1.861,1.87,1.8787,1.8874,1.8965,1.9061,1.9165,1.7999,1.8155,1.7879,0,1.29107418,-4.72051173,2.67252853,0.88549918,18.504564
2015-02-04,-0.711,-0.6179,-0.4453,-0.2872,-0.1567,-0.05,0.0386,0.1138,0.1786,0.2352,0.2853,0.3299,0.3699,0.4058,0.4383,0.4677,0.4943,0.5184,0.5403,-0.7117,-0.6174,-0.4439,-0.2856,-0.1555,-0.0495,0.0382,0.1123,0.176,0.2316,0.2805,0.324,0.3628,0.3976,0.429,0.4573,0.4828,0.506,0.5269,-0.778,-0.132,0.2376,0.4338,0.5488,0.6276,0.6888,0.7395,0.7828,0.8199,0.8514,0.878,0.9001,0.918,0.9321,0.9427,0.9501,0.9547,0.9566,0.3457,0.7632,0.6445,1.2533,1.4891,1.5775,1.6196,1.6457,1.6656,1.6825,1.6975,1.711,1.7233,1.7344,1.7443,1.7533,1.7614,1.7687,1.7753,1.7814,1.7871,1.7924,1.2582,1.491,1.5742,1.6113,1.6329,1.6488,1.6618,1.6732,1.6832,1.6921,1.6999,1.7066,1.7125,1.7176,1.7221,1.726,1.7295,1.7327,1.7357,2.0285,1.8917,1.8055,1.7773,1.7788,1.7922,1.8091,1.8256,1.8399,1.8514,1.8605,1.8673,1.8724,1.8764,1.8799,1.8833,1.8869,1.891,1.896,1.7957,1.8413,1.8074,0,2.21937913,-5.77694529,2.60052951,0.80427466,20.28269793
2015-02-03,-0.7806,-0.6826,-0.5037,-0.334,-0.1908,-0.0723,0.0265,0.1101,0.1819,0.2444,0.2993,0.3478,0.3911,0.4297,0.4643,0.4954,0.5234,0.5485,0.5711,-0.7808,-0.6817,-0.5018,-0.332,-0.1892,-0.0715,0.0262,0.1085,0.179,0.2402,0.2937,0.3409,0.3828,0.4201,0.4535,0.4834,0.5102,0.5342,0.5558,-0.8167,-0.1877,0.2175,0.4503,0.5897,0.6824,0.7508,0.8052,0.8498,0.887,0.9177,0.9427,0.9626,0.978,0.9891,0.9965,1.0005,1.0013,0.9994,0.3448,0.8299,0.698,1.3196,1.5462,1.6256,1.6553,1.6694,1.6789,1.6873,1.6952,1.7027,1.7096,1.7158,1.7215,1.7264,1.7308,1.7348,1.7384,1.7418,1.7451,1.7483,1.3246,1.5484,1.6226,1.6472,1.6566,1.662,1.6666,1.6709,1.675,1.6787,1.6819,1.6845,1.6867,1.6885,1.69,1.6912,1.6924,1.6935,1.6947,2.053,1.9294,1.8084,1.7499,1.7344,1.7397,1.7521,1.7647,1.775,1.7822,1.7869,1.7899,1.7918,1.7933,1.7951,1.7976,1.8011,1.806,1.8122,1.7822,1.7778,1.7545,0,1.46270445,-5.13006593,2.72204476,0.90015045,18.79715738
2015-02-02,-0.6803,-0.64,-0.4979,-0.3502,-0.2208,-0.112,-0.0208,0.0565,0.1228,0.1802,0.2306,0.2751,0.3146,0.3498,0.3814,0.4097,0.4351,0.4579,0.4785,-0.6809,-0.6397,-0.4966,-0.3485,-0.2192,-0.111,-0.0205,0.0558,0.121,0.1774,0.2267,0.2701,0.3086,0.3428,0.3733,0.4006,0.4251,0.4471,0.4668,-0.8494,-0.2857,0.1111,0.3491,0.4918,0.5837,0.6488,0.6984,0.7383,0.7709,0.7976,0.8193,0.8364,0.8496,0.8591,0.8653,0.8685,0.869,0.8672,0.2407,0.7203,0.5957,1.1766,1.436,1.5346,1.5765,1.6003,1.6186,1.635,1.65,1.6636,1.6758,1.6863,1.6954,1.7032,1.71,1.7157,1.7208,1.7253,1.7295,1.7334,1.1809,1.4385,1.5326,1.5698,1.5891,1.6032,1.6157,1.627,1.6371,1.6458,1.6532,1.6593,1.6643,1.6684,1.6718,1.6746,1.6771,1.6793,1.6814,1.9894,1.8943,1.7758,1.7236,1.7201,1.7382,1.7605,1.7796,1.7927,1.8005,1.804,1.8048,1.8041,1.8029,1.8021,1.8022,1.8034,1.8061,1.8101,1.7518,1.7946,1.7549,0,1.50188059,-4.83988372,2.36253003,0.96784789,18.71314557
2015-01-30,-0.6175,-0.5925,-0.4632,-0.3251,-0.2026,-0.099,-0.0117,0.0624,0.1262,0.1818,0.2305,0.2738,0.3122,0.3467,0.3776,0.4054,0.4305,0.4531,0.4735,-0.6181,-0.5924,-0.4623,-0.3236,-0.2013,-0.0982,-0.0116,0.0617,0.1245,0.1791,0.2268,0.269,0.3065,0.3399,0.3699,0.3968,0.421,0.4427,0.4623,-0.8166,-0.2819,0.1014,0.3338,0.4742,0.5653,0.63,0.6797,0.7199,0.7531,0.7805,0.8032,0.8214,0.8358,0.8466,0.8542,0.8589,0.861,0.8606,0.2277,0.7017,0.5775,1.1062,1.3809,1.4944,1.547,1.5771,1.599,1.6174,1.6337,1.6481,1.6607,1.6718,1.6812,1.6895,1.6965,1.7027,1.7081,1.7129,1.7172,1.7213,1.11,1.3832,1.4925,1.5403,1.5661,1.5839,1.5984,1.611,1.6219,1.6313,1.6392,1.6458,1.6512,1.6557,1.6595,1.6626,1.6653,1.6677,1.6699,1.9426,1.8888,1.7873,1.7353,1.7258,1.7372,1.7549,1.7712,1.7832,1.7909,1.7949,1.7961,1.796,1.7951,1.7943,1.7941,1.7949,1.7967,1.8,1.7645,1.7855,1.7535,0,1.5360466,-4.66927112,2.34077969,0.97597694,19.34863836
2015-01-29,-0.6024,-0.4535,-0.3266,-0.2167,-0.117,-0.0266,0.0543,0.1259,0.1888,0.2441,0.2925,0.335,0.3723,0.4053,0.4346,0.4606,0.4839,0.5049,0.5238,-0.6106,-0.4568,-0.3278,-0.2169,-0.1168,-0.0265,0.0539,0.1248,0.187,0.2413,0.2886,0.3301,0.3665,0.3985,0.4268,0.452,0.4744,0.4946,0.5128,-0.3888,-0.0293,0.1381,0.3058,0.4535,0.5726,0.6634,0.7304,0.7785,0.8124,0.836,0.8522,0.8632,0.8707,0.8757,0.879,0.8812,0.8827,0.8836,0.2229,0.7572,0.5942,1.1248,1.3174,1.4525,1.5396,1.5925,1.6249,1.6462,1.6617,1.6741,1.6846,1.6943,1.7032,1.7118,1.7197,1.7272,1.7343,1.7409,1.747,1.7527,1.1361,1.3213,1.4505,1.5324,1.5804,1.6086,1.626,1.6377,1.6466,1.654,1.6606,1.6667,1.6724,1.6777,1.6827,1.6874,1.6917,1.6957,1.6994,1.6603,1.798,1.8907,1.876,1.837,1.8055,1.7884,1.7835,1.787,1.7953,1.8057,1.8165,1.8267,1.8358,1.8437,1.8502,1.8556,1.8599,1.8633,1.8967,1.7927,1.814,0.88546613,63.91264131,-70.13101941,-2.63623309,0.2743913,2.09825515
2015-01-28,-0.6027,-0.439,-0.3101,-0.2042,-0.1103,-0.0257,0.0501,0.1176,0.1773,0.2299,0.2763,0.3172,0.3533,0.3853,0.4138,0.4392,0.462,0.4825,0.501,-0.6119,-0.4426,-0.3114,-0.2045,-0.1102,-0.0256,0.0498,0.1167,0.1757,0.2275,0.2729,0.3129,0.3481,0.3792,0.4068,0.4314,0.4534,0.4731,0.491,-0.3521,0.0076,0.1465,0.2914,0.4244,0.5353,0.6225,0.6887,0.7377,0.7732,0.7985,0.8164,0.8289,0.8376,0.8436,0.8477,0.8505,0.8524,0.8537,0.2192,0.7157,0.5585,1.1121,1.2725,1.3994,1.4872,1.5426,1.5774,1.6003,1.6167,1.6298,1.6413,1.6518,1.6618,1.6715,1.6809,1.6898,1.6985,1.7067,1.7145,1.7219,1.1244,1.2768,1.3979,1.4806,1.5314,1.562,1.5812,1.5942,1.604,1.6123,1.6199,1.627,1.6339,1.6405,1.6468,1.6529,1.6586,1.664,1.6691,1.5563,1.7012,1.8298,1.835,1.8025,1.7711,1.7524,1.7466,1.7506,1.761,1.7748,1.7897,1.8046,1.8184,1.8307,1.8416,1.8508,1.8585,1.8649,1.8467,1.7555,1.778,0.85626617,71.60584932,-78.24226231,-2.38749167,0.27359029,2.21813763
2015-01-27,-0.5866,-0.4154,-0.2783,-0.1647,-0.0638,0.0268,0.1077,0.1793,0.2424,0.2978,0.3465,0.3893,0.427,0.4604,0.49,0.5165,0.5401,0.5614,0.5806,-0.5961,-0.419,-0.2795,-0.1649,-0.0637,0.0267,0.107,0.1779,0.24,0.2944,0.3421,0.3838,0.4204,0.4528,0.4814,0.5068,0.5296,0.55,0.5684,-0.3275,0.0562,0.2106,0.368,0.5098,0.6262,0.7166,0.7842,0.8336,0.8689,0.8938,0.9112,0.9232,0.9315,0.9371,0.9409,0.9434,0.9452,0.9463,0.29,0.8118,0.6492,1.1389,1.3146,1.4494,1.5389,1.5924,1.6234,1.6419,1.6542,1.6635,1.6718,1.6797,1.6877,1.6958,1.7039,1.7121,1.7201,1.7281,1.7357,1.7431,1.1515,1.3186,1.4469,1.5309,1.5794,1.6062,1.621,1.6299,1.6361,1.6413,1.6463,1.6515,1.6568,1.6623,1.6678,1.6732,1.6785,1.6837,1.6886,1.6239,1.7776,1.8974,1.8843,1.8335,1.7878,1.7593,1.7478,1.7494,1.7596,1.7747,1.7921,1.8098,1.8267,1.8423,1.8561,1.8683,1.8786,1.8874,1.9059,1.7553,1.7942,0.94855883,74.97193782,-81.86496593,-2.53511064,0.27309895,2.16242946
2015-01-26,-0.4985,-0.3214,-0.1894,-0.0862,0.0028,0.0821,0.1529,0.216,0.272,0.3216,0.3655,0.4043,0.4386,0.4692,0.4964,0.5208,0.5426,0.5623,0.5802,-0.5065,-0.3242,-0.1903,-0.0864,0.0028,0.0819,0.1522,0.2147,0.2698,0.3185,0.3614,0.3993,0.4327,0.4623,0.4887,0.5122,0.5332,0.5522,0.5693,-0.217,0.149,0.2646,0.3883,0.5058,0.6066,0.6878,0.751,0.7987,0.8341,0.86,0.8786,0.8919,0.9014,0.908,0.9126,0.9159,0.9181,0.9197,0.3265,0.7775,0.6303,1.0593,1.2341,1.3759,1.4761,1.5402,1.5801,1.6057,1.6232,1.6366,1.6479,1.6583,1.6684,1.6785,1.6884,1.6984,1.7082,1.7179,1.7274,1.7365,1.0696,1.2364,1.3721,1.4672,1.5267,1.5626,1.5846,1.599,1.6094,1.6179,1.6256,1.6329,1.6402,1.6475,1.6548,1.6619,1.6689,1.6756,1.6822,1.5393,1.7069,1.8631,1.877,1.8405,1.7998,1.7715,1.758,1.7574,1.7661,1.7808,1.799,1.8186,1.8381,1.8569,1.8744,1.8901,1.9041,1.9164,1.8861,1.7644,1.8033,0.92302685,72.77421343,-79.65036857,-2.13742636,0.2763165,2.32321147
