Mnemonic,FFB2C.D7,FFE2C.D7,FFB3C.D7,FFE3C.D7,FFB4C.D7,FFE4C.D7,FFB5C.D7,FFE5C.D7,FFB6C.D7,FFE6C.D7,FFB7C.D7,FFE7C.D7,FFB1C.D7,FFE1C.D7
3/27/1989,89.50,89.75,89.39,89.50,89.23,89.39,89.23,89.23,89.23,89.23,#N/A,89.23,89.75,90.13
3/28/1989,89.52,89.78,89.42,89.52,89.25,89.42,89.25,89.25,89.25,89.25,#N/A,89.25,89.78,90.12
3/29/1989,89.63,89.85,89.51,89.63,89.34,89.51,89.33,89.34,89.33,89.33,#N/A,89.33,89.85,90.13
3/30/1989,89.63,89.88,89.53,89.63,89.37,89.53,89.36,89.37,89.34,89.36,#N/A,89.34,89.88,90.12
3/31/1989,89.69,89.90,89.63,89.69,89.46,89.63,89.43,89.46,89.41,89.43,#N/A,89.41,89.90,90.14
4/1/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/2/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/3/1989,89.78,89.85,89.72,89.78,89.75,89.72,89.75,89.75,#N/A,89.75,#N/A,#N/A,89.85,90.01
4/4/1989,89.90,89.92,89.80,89.90,89.79,89.80,89.79,89.79,#N/A,89.79,#N/A,#N/A,89.92,90.03
4/5/1989,89.88,89.94,89.80,89.88,89.80,89.80,89.82,89.80,#N/A,89.82,#N/A,#N/A,89.94,90.05
4/6/1989,89.84,89.90,89.74,89.84,89.71,89.74,89.70,89.71,#N/A,89.70,#N/A,#N/A,89.90,90.08
4/7/1989,89.87,89.95,89.74,89.87,89.70,89.74,89.70,89.70,#N/A,89.70,#N/A,#N/A,89.95,90.12
4/8/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/9/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/10/1989,89.84,89.92,89.71,89.84,89.70,89.71,89.70,89.70,#N/A,89.70,#N/A,#N/A,89.92,90.12
4/11/1989,89.84,89.92,89.72,89.84,89.68,89.72,89.66,89.68,#N/A,89.66,#N/A,#N/A,89.92,90.13
4/12/1989,89.85,89.94,89.71,89.85,89.67,89.71,89.66,89.67,#N/A,89.66,#N/A,#N/A,89.94,90.15
4/13/1989,89.78,89.92,89.65,89.78,89.61,89.65,89.60,89.61,#N/A,89.60,#N/A,#N/A,89.92,90.13
4/14/1989,90.05,90.07,90.01,90.05,90.01,90.01,90.01,90.01,#N/A,90.01,#N/A,#N/A,90.07,90.16
4/15/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/16/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/17/1989,89.99,90.03,89.95,89.99,89.95,89.95,89.95,89.95,#N/A,89.95,#N/A,#N/A,90.03,90.16
4/18/1989,90.18,90.15,90.18,90.18,90.18,90.18,90.20,90.18,#N/A,90.20,#N/A,#N/A,90.15,90.18
4/19/1989,90.17,90.15,90.18,90.17,90.20,90.18,90.20,90.20,#N/A,90.20,#N/A,#N/A,90.15,90.17
4/20/1989,90.01,90.06,89.97,90.01,89.96,89.97,90.00,89.96,#N/A,90.00,#N/A,#N/A,90.06,90.15
4/21/1989,90.03,90.09,89.98,90.03,90.01,89.98,90.03,90.01,#N/A,90.03,#N/A,#N/A,90.09,90.15
4/22/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/23/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/24/1989,90.02,90.06,89.99,90.02,89.99,89.99,89.99,89.99,#N/A,89.99,#N/A,#N/A,90.06,90.15
4/25/1989,90.05,90.09,90.05,90.05,90.05,90.05,90.05,90.05,#N/A,90.05,#N/A,#N/A,90.09,90.15
4/26/1989,90.16,90.11,90.15,90.16,90.15,90.15,90.14,90.15,#N/A,90.14,#N/A,#N/A,90.11,90.15
4/27/1989,90.24,90.14,90.28,90.24,90.29,90.28,90.34,90.29,#N/A,90.34,#N/A,#N/A,90.14,90.16
4/28/1989,90.25,90.14,90.25,90.25,90.33,90.25,90.32,90.33,#N/A,90.32,#N/A,#N/A,90.14,90.16
4/29/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/30/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/1/1989,90.10,90.12,90.10,90.10,90.10,90.10,90.10,90.10,#N/A,90.10,#N/A,#N/A,90.12,90.10
5/2/1989,90.15,90.15,90.16,90.15,90.19,90.16,90.13,90.19,#N/A,90.13,#N/A,#N/A,90.15,90.13
5/3/1989,90.19,90.19,90.20,90.19,90.25,90.20,90.18,90.25,#N/A,90.18,90.20,#N/A,90.19,90.13
5/4/1989,90.17,90.17,90.18,90.17,90.23,90.18,90.19,90.23,#N/A,90.19,90.20,#N/A,90.17,90.11
5/5/1989,90.35,90.22,90.38,90.35,90.43,90.38,90.43,90.43,#N/A,90.43,90.40,#N/A,90.22,90.13
5/6/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/7/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/8/1989,90.28,90.21,90.32,90.28,90.39,90.32,90.39,90.39,#N/A,90.39,90.37,#N/A,90.21,90.12
5/9/1989,90.17,90.11,90.22,90.17,90.25,90.22,90.25,90.25,#N/A,90.25,90.23,#N/A,90.11,90.11
5/10/1989,90.18,90.16,90.19,90.18,90.20,90.19,90.22,90.20,#N/A,90.22,90.19,#N/A,90.16,90.12
5/11/1989,90.25,90.18,90.28,90.25,90.34,90.28,90.34,90.34,#N/A,90.34,90.30,#N/A,90.18,90.13
5/12/1989,90.50,90.33,90.64,90.50,90.75,90.64,90.75,90.75,#N/A,90.75,90.75,#N/A,90.33,90.17
5/13/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/14/1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/15/1989,90.50,90.30,90.60,90.50,90.72,90.60,90.72,90.72,#N/A,90.72,90.72,#N/A,90.30,90.19
5/16/1989,90.43,90.27,90.54,90.43,90.66,90.54,90.66,90.66,#N/A,90.66,90.66,#N/A,90.27,90.18
5/17/1989,90.40,90.28,90.55,90.40,90.70,90.55,90.70,90.70,#N/A,90.70,90.70,#N/A,90.28,90.19
5/18/1989,90.43,90.28,90.54,90.43,90.68,90.54,90.68,90.68,#N/A,90.68,90.68,#N/A,90.28,90.17
5/19/1989,90.46,90.31,90.57,90.46,90.73,90.57,90.73,90.73,#N/A,90.73,90.73,#N/A,90.31,90.18
