observation_date,INDPRO
1919-01-01,5.0354
1919-02-01,4.8128
1919-03-01,4.6737
1919-04-01,4.7572
1919-05-01,4.7850
1919-06-01,5.0910
1919-07-01,5.3970
1919-08-01,5.4805
1919-09-01,5.3692
1919-10-01,5.3136
1919-11-01,5.2301
1919-12-01,5.3136
1920-01-01,5.8143
1920-02-01,5.8143
1920-03-01,5.7030
1920-04-01,5.3970
1920-05-01,5.5361
1920-06-01,5.5918
1920-07-01,5.4527
1920-08-01,5.4805
1920-09-01,5.2857
1920-10-01,5.0632
1920-11-01,4.6459
1920-12-01,4.3677
1921-01-01,4.1173
1921-02-01,4.0339
1921-03-01,3.9226
1921-04-01,3.9226
1921-05-01,4.0339
1921-06-01,4.0060
1921-07-01,3.9782
1921-08-01,4.1173
1921-09-01,4.1451
1921-10-01,4.3955
1921-11-01,4.3399
1921-12-01,4.3121
1922-01-01,4.4790
1922-02-01,4.6737
1922-03-01,4.9241
1922-04-01,4.7572
1922-05-01,5.0075
1922-06-01,5.2579
1922-07-01,5.2579
1922-08-01,5.1466
1922-09-01,5.4248
1922-10-01,5.7309
1922-11-01,5.9812
1922-12-01,6.1482
1923-01-01,6.0091
1923-02-01,6.0925
1923-03-01,6.2873
1923-04-01,6.4263
1923-05-01,6.5098
1923-06-01,6.4542
1923-07-01,6.3985
1923-08-01,6.2873
1923-09-01,6.1481
1923-10-01,6.1203
1923-11-01,6.1203
1923-12-01,5.9812
1924-01-01,6.1203
1924-02-01,6.2316
1924-03-01,6.1203
1924-04-01,5.9256
1924-05-01,5.6752
1924-06-01,5.4248
1924-07-01,5.3414
1924-08-01,5.5361
1924-09-01,5.7309
1924-10-01,5.8700
1924-11-01,5.9812
1924-12-01,6.1482
1925-01-01,6.3429
1925-02-01,6.3429
1925-03-01,6.3429
1925-04-01,6.3985
1925-05-01,6.3707
1925-06-01,6.3151
1925-07-01,6.4820
1925-08-01,6.3707
1925-09-01,6.2873
1925-10-01,6.5376
1925-11-01,6.6767
1925-12-01,6.7602
1926-01-01,6.6489
1926-02-01,6.6489
1926-03-01,6.7324
1926-04-01,6.7324
1926-05-01,6.6767
1926-06-01,6.7602
1926-07-01,6.7880
1926-08-01,6.8715
1926-09-01,6.9827
1926-10-01,6.9827
1926-11-01,6.9549
1926-12-01,6.9271
1927-01-01,6.8993
1927-02-01,6.9549
1927-03-01,7.0384
1927-04-01,6.8715
1927-05-01,6.9271
1927-06-01,6.8993
1927-07-01,6.8158
1927-08-01,6.8158
1927-09-01,6.7045
1927-10-01,6.5654
1927-11-01,6.5654
1927-12-01,6.5933
1928-01-01,6.7324
1928-02-01,6.7880
1928-03-01,6.8436
1928-04-01,6.8158
1928-05-01,6.8993
1928-06-01,6.9549
1928-07-01,7.0384
1928-08-01,7.1775
1928-09-01,7.2331
1928-10-01,7.3722
1928-11-01,7.5113
1928-12-01,7.6504
1929-01-01,7.7617
1929-02-01,7.7339
1929-03-01,7.7617
1929-04-01,7.9008
1929-05-01,8.0399
1929-06-01,8.0955
1929-07-01,8.2068
