date,n1y_prem,n2y_prem,n3y_prem,n4y_prem,n5y_prem,n6y_prem,n7y_prem,n8y_prem,n9y_prem,n10y_prem,n11y_prem
1/4/1999,0.06988625,0.24791137,0.546950436,0.839116539,1.080115966,1.272063551,1.431612129,1.574672296,1.711777457,1.848190469,1.985426458
1/5/1999,0.06630193,0.249608417,0.554035344,0.850579228,1.09492629,1.289280284,1.450397002,1.594306381,1.731673486,1.867895022,2.004612305
1/6/1999,0.057716428,0.236546545,0.51169346,0.781513686,1.011239982,1.201828482,1.365531416,1.51423094,1.655860756,1.794441338,1.931202387
1/7/1999,0.005937212,0.152540043,0.449772597,0.755044331,1.014202414,1.223440895,1.396502121,1.548371719,1.689782789,1.826735268,1.961666744
1/8/1999,0.020760139,0.177156034,0.473944117,0.78081613,1.046092248,1.264258738,1.446615634,1.606312471,1.753102899,1.892703591,2.027720779
1/11/1999,-0.017597933,0.113918907,0.417485464,0.740559474,1.020555463,1.248710634,1.436540829,1.598488399,1.745622813,1.884661794,2.018868549
1/12/1999,0.022512737,0.165581249,0.451503075,0.754062142,1.020173102,1.241948953,1.428758738,1.592537583,1.742428103,1.883945766,2.019739029
1/13/1999,0.03615781,0.190628718,0.485166855,0.787508997,1.046036686,1.256737526,1.432429912,1.58722134,1.731232422,1.870118857,2.006178848
1/14/1999,0.073624087,0.224988631,0.505615064,0.797117316,1.050221778,1.259886921,1.437234339,1.594902738,1.741985295,1.883516121,2.021476741
1/15/1999,0.045739302,0.189494588,0.474207116,0.770848739,1.026989035,1.237387321,1.41390689,1.570024779,1.715479067,1.855709177,1.992902971
1/19/1999,0.017843385,0.172445949,0.464957877,0.764344842,1.02058815,1.229928042,1.404830178,1.558992295,1.702268688,1.840209028,1.975119757
1/20/1999,0.010642292,0.15888046,0.44999726,0.752515376,1.014358671,1.229842579,1.41016294,1.568386102,1.714190232,1.853220794,1.988016794
1/21/1999,0.014595514,0.169104895,0.462970337,0.762244287,1.016719467,1.223378833,1.395477779,1.547257075,1.688845229,1.825864543,1.960569041
1/22/1999,0.010628908,0.166698034,0.458878835,0.751211877,0.995703426,1.191895854,1.354836604,1.499694192,1.63687503,1.771874573,1.906605271
1/25/1999,0.023482857,0.176036856,0.463744795,0.755121811,1.001681762,1.201539101,1.368519826,1.51700866,1.657010626,1.793885166,1.929570418
1/26/1999,0.013247435,0.160738467,0.443853996,0.732981101,0.979716111,1.181228259,1.350321882,1.500669177,1.641910925,1.779304241,1.914844609
