date,n1y_neut,n2y_neut,n3y_neut,n4y_neut,n5y_neut,n6y_neut,n7y_neut,n8y_neut,n9y_neut,n10y_neut,n11y_neut
1/4/1999,4.508970946,4.252906427,4.02962459,3.836884671,3.66974324,3.524302482,3.397395115,3.28635838,3.188929473,3.103180959,3.027471261
1/5/1999,4.545818224,4.293675548,4.068843476,3.873365331,3.703342818,3.555173577,3.425775701,3.312500742,3.213073955,3.125546644,3.048253618
1/6/1999,4.562064515,4.328936169,4.108073264,3.912282517,3.740528801,3.590162909,3.458477707,3.34298505,3.241478417,3.152034187,3.072991152
1/7/1999,4.591420489,4.375747975,4.157160267,3.959545476,3.784847381,3.631318728,3.496572749,3.378237859,3.274142082,3.182361256,3.101218722
1/8/1999,4.640755353,4.430262488,4.2097588,4.008598575,3.830116028,3.672975394,3.534915223,3.413590339,3.306817629,3.212647726,3.129374557
1/11/1999,4.703826514,4.505762332,4.28417255,4.078573693,3.894964905,3.73279516,3.590058973,3.464484093,3.353889065,3.256297782,3.169967226
1/12/1999,4.620829386,4.411658178,4.193031154,3.993584499,3.816594124,3.660741787,3.523793531,3.40343075,3.297493599,3.204052415,3.121417599
1/13/1999,4.559607351,4.332991697,4.113884243,3.918388505,3.746469768,3.595782143,3.463730758,3.347873339,3.246022269,3.156260911,3.07692957
1/14/1999,4.427548331,4.18623995,3.972514637,3.786795201,3.62520985,3.484328908,3.361240648,3.253445868,3.158796654,3.075450881,3.001832564
1/15/1999,4.511857526,4.278804049,4.061456985,3.869515926,3.701410981,3.554360353,3.425639481,3.312780275,3.213608013,3.126233047,3.049026572
1/19/1999,4.56067491,4.347705591,4.131879183,3.936757059,3.764238142,3.612604213,3.479505906,3.362606855,3.259766042,3.169085837,3.088912087
1/20/1999,4.594931905,4.388828376,4.172510996,3.975044789,3.799776347,3.645425663,3.509790057,3.390577544,3.285651059,3.193100436,3.111252744
1/21/1999,4.538505064,4.324855456,4.110284017,3.916802871,3.745915926,3.595795663,3.46406572,3.348390315,3.246638794,3.156926968,3.077614453
1/22/1999,4.51353158,4.294136857,4.079716122,3.887915123,3.719065016,3.57097845,3.441156811,3.327225682,3.227048943,3.138750614,3.060703829
1/25/1999,4.519820478,4.295303692,4.079328671,3.886955719,3.717886833,3.569733258,3.439915499,3.326022034,3.225898346,3.137658925,3.059671883
1/26/1999,4.55824957,4.34068332,4.123951866,3.928928526,3.756813063,3.605668435,3.47306505,3.356635325,3.254226893,3.163939443,3.084119982
1/27/1999,4.5349616,4.306861282,4.089109482,3.895549835,3.725567817,3.576668303,3.446222681,3.33179159,3.231202426,3.142556801,3.06421308
1/28/1999,4.548909021,4.323118273,4.104987392,3.910422648,3.739324329,3.58934422,3.457900136,3.342564628,3.241163699,3.151792382,3.072800715
