date,r2y_liq,r3y_liq,r4y_liq,r5y_liq,r6y_liq,r7y_liq,r8y_liq,r9y_liq,r10y_liq,r11y_liq
1/4/1999,2.825253648,2.425973405,2.131299333,1.904364107,1.732419213,1.604830821,1.511389632,1.443139672,1.392800823,1.354720433
1/5/1999,2.81563513,2.417714228,2.124043368,1.897880738,1.726521227,1.599367207,1.506244136,1.438226532,1.388059061,1.350108315
1/6/1999,2.774072904,2.382025803,2.092689885,1.869865692,1.701035657,1.575758587,1.484010126,1.416996546,1.367569608,1.330179061
1/7/1999,2.924031944,2.510791814,2.205815162,1.970945683,1.792989144,1.660939926,1.564231787,1.493595629,1.441496802,1.402085021
1/8/1999,2.909128526,2.497994628,2.194572403,1.960900024,1.783850506,1.652474327,1.556259097,1.485982963,1.434149676,1.394938772
1/11/1999,3.03550369,2.606509766,2.289906606,2.046083288,1.86134258,1.7242593,1.623864394,1.550535401,1.49645043,1.455536169
1/12/1999,2.946677735,2.530237178,2.222898569,1.986210093,1.806875331,1.67380343,1.576346314,1.5051631,1.452660782,1.412943768
1/13/1999,2.847538947,2.445109224,2.148110795,1.919385527,1.746084351,1.617489555,1.523311311,1.454523003,1.403787087,1.365406323
1/14/1999,2.811945145,2.414545732,2.121259738,1.895393501,1.724258563,1.597271182,1.504270153,1.436341688,1.386239963,1.348338952
1/15/1999,2.854448951,2.451042669,2.153323525,1.92404322,1.750321501,1.621414649,1.527007867,1.458052634,1.407193598,1.368719697
1/19/1999,2.833230076,2.432822561,2.137316547,1.909740623,1.737310284,1.609361677,1.515656679,1.447214032,1.396733063,1.358545162
1/20/1999,2.868973759,2.463514752,2.164280671,1.933833676,1.759227978,1.629665186,1.534778017,1.465471906,1.414354076,1.375684401
1/21/1999,2.861046409,2.456707738,2.158300479,1.928490241,1.754367,1.625162208,1.530537224,1.461422615,1.41044603,1.371883205
1/22/1999,2.843553388,2.441686927,2.145104191,1.916699059,1.743640443,1.615225635,1.521179208,1.45248718,1.401822276,1.363495232
1/25/1999,2.839351895,2.438079211,2.141934691,1.913867039,1.741064126,1.612839058,1.518931589,1.450341057,1.399751013,1.361480598
1/26/1999,2.836260227,2.435424474,2.139602416,1.911783098,1.739168345,1.611082896,1.517277679,1.448761833,1.398226874,1.359998131
1/27/1999,2.778385545,2.385728958,2.095943231,1.87277263,1.703680129,1.578208299,1.486317205,1.419199443,1.369695665,1.33224699
1/28/1999,2.775624183,2.383357847,2.09386013,1.870911333,1.701986888,1.576639761,1.484839995,1.417788939,1.368334361,1.330922906
1/29/1999,2.769216243,2.377855511,2.089026143,1.866592056,1.698057598,1.572999854,1.481412021,1.414515763,1.365175358,1.327850273
2/1/1999,2.797939674,2.402519591,2.110694367,1.885953104,1.715670538,1.589315645,1.496777826,1.429187693,1.379335509,1.341623273
2/2/1999,2.7946234,2.399671991,2.108192655,1.883717767,1.71363703,1.587431899,1.495003761,1.42749374,1.377700644,1.340033106
2/3/1999,2.730620064,2.344713955,2.05991017,1.840576276,1.674390781,1.551076039,1.460764719,1.394800833,1.346148115,1.30934325
2/4/1999,2.724608491,2.33955197,2.055375192,1.836524171,1.67070454,1.547661281,1.457548785,1.391730122,1.343184514,1.306460677
2/5/1999,2.738124623,2.351157929,2.065571418,1.845634729,1.678992507,1.555338859,1.464779337,1.398634163,1.349847732,1.312941716
2/8/1999,2.748773696,2.360302017,2.073604807,1.852812744,1.685522419,1.56138786,1.470476134,1.404073709,1.355097539,1.318047989
2/9/1999,2.787895167,2.393894629,2.103117048,1.879182598,1.709511341,1.583610057,1.491404445,1.424056958,1.374383743,1.336806892
2/10/1999,2.882278338,2.474939056,2.174317306,1.942801637,1.767386222,1.637222596,1.541895397,1.472267886,1.420913002,1.382064
2/11/1999,2.855312134,2.451783862,2.153974689,1.924625049,1.750850796,1.621904964,1.527469633,1.458493548,1.407619133,1.369133597
2/12/1999,2.858720893,2.454710877,2.15654617,1.926922725,1.752941016,1.623841244,1.529293173,1.460234742,1.409299592,1.370768111
2/16/1999,2.830948742,2.430863637,2.135595567,1.908202888,1.735911391,1.608065809,1.514436263,1.446048726,1.395608405,1.357451253
2/17/1999,2.709931949,2.326949597,2.044303583,1.826631438,1.661705022,1.539324555,1.449697464,1.384233344,1.335949235,1.299423217
2/18/1999,2.693746942,2.313051944,2.032094027,1.815721924,1.651780526,1.530130974,1.441039179,1.375966042,1.327970308,1.291662441
2/19/1999,2.706483551,2.323988545,2.041702199,1.824307043,1.659590496,1.537365759,1.447852719,1.382471902,1.334249234,1.297769696
2/22/1999,2.707249862,2.324646558,2.042280285,1.824823576,1.660060391,1.537801047,1.448262663,1.382863334,1.334627012,1.298137145
2/23/1999,2.690192848,2.310000133,2.029412909,1.813326284,1.649601189,1.528112139,1.439137891,1.37415061,1.326218202,1.289958239
2/24/1999,2.657144581,2.281622428,2.004482139,1.791050078,1.6293363,1.509339709,1.421458485,1.357269554,1.309925982,1.274111462
2/25/1999,2.657686283,2.282087573,2.004890785,1.791415212,1.629668466,1.509647412,1.421748272,1.357546255,1.310193031,1.27437121
2/26/1999,2.651106585,2.276437754,1.999927228,1.786980163,1.625633857,1.505909942,1.418228416,1.354185345,1.306949355,1.271216219
3/1/1999,2.673184257,2.295395289,2.016582061,1.801861632,1.639171679,1.518450737,1.430039024,1.365462621,1.317833263,1.281802551
