date,r2y_prem,r3y_prem,r4y_prem,r5y_prem,r6y_prem,r7y_prem,r8y_prem,r9y_prem,r10y_prem,r11y_prem
1/4/1999,-0.404301554,0.183034808,0.656383297,1.018690611,1.296829752,1.516611621,1.697195314,1.851201751,1.986383583,2.107311163
1/5/1999,-0.399100641,0.184666349,0.657711221,1.020765394,1.299905426,1.520635974,1.70200242,1.856598015,1.992187164,2.113368359
1/6/1999,-0.358276057,0.136149954,0.552701363,0.883613727,1.146518168,1.360406442,1.539950037,1.695098624,1.832161533,1.95501657
1/7/1999,-0.560855785,-0.009613734,0.459853514,0.830233295,1.120000132,1.351437163,1.542341615,1.704969403,1.847149045,1.973698739
1/8/1999,-0.510461936,0.009570588,0.460963455,0.822752613,1.1096343,1.341084776,1.5331218,1.697012651,1.840117283,1.967092634
1/11/1999,-0.655590917,-0.11464335,0.362137851,0.745111388,1.0477798,1.290555408,1.490715185,1.66056957,1.808218604,1.938808525
1/12/1999,-0.536905949,-0.02870836,0.416519271,0.77629285,1.063519871,1.296394803,1.490172347,1.655725485,1.800245245,1.928344572
1/13/1999,-0.500836899,0.049320407,0.513163701,0.878476527,1.164536407,1.393354785,1.582316379,1.743355988,1.884098082,2.009247667
1/14/1999,-0.443244786,0.106918871,0.562084654,0.918921181,1.198390872,1.422330984,1.607624814,1.765771026,1.904089109,2.027090938
1/15/1999,-0.514099618,0.03865375,0.502171991,0.866901483,1.152609103,1.381295334,1.570261099,1.731372602,1.87220969,1.997450991
1/19/1999,-0.501656817,0.025780274,0.477196086,0.835796745,1.118457637,1.345760337,1.534223973,1.69528308,1.836292189,1.961822863
1/20/1999,-0.530168536,-0.013924309,0.434831306,0.794714361,1.080221252,1.310712061,1.502124444,1.665664148,1.808640985,1.935669804
1/21/1999,-0.504474808,0.030812791,0.486163005,0.846118396,1.128695935,1.355261257,1.542803664,1.703004259,1.843324163,1.968362155
1/22/1999,-0.501017436,0.045475222,0.503989988,0.862817572,1.142453404,1.365697357,1.550267691,1.70814502,1.846851732,1.970928056
1/25/1999,-0.500278695,0.043813692,0.500718831,0.859410864,1.139849156,1.364266756,1.550012838,1.708877011,1.848307802,1.972838447
1/26/1999,-0.521930631,0.004445825,0.4533392,0.809255198,1.089656524,1.31532334,1.502786803,1.663413203,1.804460871,1.930401161
1/27/1999,-0.481462711,0.047564168,0.493460392,0.845511186,1.122498395,1.345433807,1.530766921,1.689719454,1.82941814,1.954232352
1/28/1999,-0.526558213,0.009537519,0.461895453,0.818245994,1.097774673,1.322182277,1.508462607,1.668180108,1.808645611,1.934308833
