date_daily,year,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,path,path_intra_wide,dffr1_intra_wide,dffr1_intra_wide,DNY2_long,DNY3M,DNY6M,DNY1,DNY2,DNY3,DNY5,DNY10,DNF1,DNF2,DNF3,DNF5,DNF10,DRY2,DRY3,DRY5,DRY10,DRF2,DRF3,DRF5,DRF10,path_m,stratRF3,Dbkeveny2,Dbkeveny3,Dbkeveny5,Dbkeveny10,DIF2,DIF3,DIF5,DIF10
04jan2000,2000,0,0,.0131746,-.0100021,-.0149994,-.0100021,-.0270771,.0029562,0,0,-.0836997,-.05,-.06,-.0574002,,,-.0934,-.0868001,-.0557003,,,-.0573001,-.1113,,,-.0272002,-.0120997,,,-.0114999,.0034003,,0,,,-.0661998,-.0747001,,,-.0458002,-.1147003
05jan2000,2000,0,0,0,0,0,.0049973,.0373099,.0066847,0,0,.0881,.01,-.01,.0615001,,,.1115999,.1108999,.1024003,,,.1248999,.0958996,,,.0120001,.0166998,,,.0249,.0103998,,0,,,.0995998,.0942001,,,.0999999,.0854998
11jan2000,2000,0,-.0077457,0,.0049973,.0099945,.0149994,.0524144,.0093326,-.0077457,-.0077457,.0641999,.01,.02,.0418,,,.0857,.0893998,.0633001,,,.0943003,.0911999,,,.0113001,.0110002,,,.0162001,.0084996,,0,,,.0744002,.0783999,,,.0781002,.0827003
12jan2000,2000,0,-.0326261,-.0100021,-.0049973,.0049973,-.0050049,.0164686,-.0012324,-.0326261,-.0326261,.0384002,.02,.04,.0332999,,,.0485001,.0386,.0513,,,.0573997,.0021,,,-.0369,-.0320997,,,-.0516,-.0089998,,0,,,.0853999,.0707002,,,.1089997,.0110998
18jan2000,2000,0,-.0119165,.0012768,.0049973,-.0099945,-.0049973,.0198567,.0033124,-.0119165,-.0119165,.0286999,.15,.1,.0166998,,,.0613003,.0468998,.0243998,,,.0743999,.0051999,,,0,.0148997,,,.0320001,.0246,,0,,,.0613,.0320001,,,.0423999,-.0194001
19jan2000,2000,0,-.0129096,.0030983,.0049973,.0050049,.0100021,.0001169,.0077399,-.0129096,-.0129096,-.0158,-.05,-.01,-.0219998,,,-.0211,-.0323,-.0138998,,,-.0376,-.0446,,,.0049,.0047002,,,-.0023999,.0091996,,0,,,-.026,-.0369999,,,-.0352001,-.0537996
25jan2000,2000,0,0,.0073882,.0149994,.0200043,.0250015,.0085685,.0164552,0,0,-.0162997,.02,.01,.0046,,,.0015001,.0082002,-.0152001,,,.0481,-.0281,,,-.0164003,-.0230999,,,-.0278001,-.0290003,,0,,,.0179,.0313001,,,.0759001,.0009003
26jan2000,2000,0,0,.0086195,.0050049,.0049973,.0050049,.0175667,.0099321,0,0,.0242,.01,0,.0146003,,,.0134001,-.0427003,.0257001,,,-.0393,-.1349001,,,-.0211997,-.0163002,,,-.0125003,-.0113997,,0,,,.0346,-.0264001,,,-.0267997,-.1235003
01feb2000,2000,0,.0051836,.0047709,.0099945,.0049973,.0100021,-.0003267,.0115533,.0051836,.0051836,-.0101004,-.05,-.02,.0081,,,-.0212002,-.0351,.0144,,,-.0040998,-.0998001,,,.0135002,.0068002,,,.0054002,-.0026999,,0,,,-.0347002,-.0418999,,,-.0095,-.0971003
02feb2000,2000,1,-.053707,-.0112182,-.0050049,.0100021,.0300064,.0215744,.0008308,-.053707,-.053707,.0285001,-.05,-.01,.0263,,,.0099001,-.0218,.0394001,,,-.0209002,-.0872998,,,-.0399003,-.0387001,,,-.0351,-.0676999,.0215744,0,,,.0498002,.0169001,,,.0141997,-.0195999
